ricky11 20190916 20:36:24
./validation_images_normal/137.png Fake 21:41:15
./validation_images_normal/138.png Fake 21:41:21
./validation_images_normal/139.png Fake 21:41:24
./validation_images_normal/140.png Fake 21:41:28
./validation_images_normal/141.png Fake 21:41:31
./validation_images_normal/142.png Fake 21:41:34
./validation_images_normal/143.png Real 21:41:36
./validation_images_normal/144.png Real 21:41:52
./validation_images_normal/145.png Real 21:41:57
./validation_images_normal/146.png Fake 21:42:10
./validation_images_normal/147.png Real 21:42:15
./validation_images_normal/148.png Real 21:42:21
./validation_images_normal/149.png Fake 21:42:24
./validation_images_normal/150.png Fake 21:42:30
./validation_images_normal/151.png Fake 21:42:35
./validation_images_normal/152.png Fake 21:42:38
./validation_images_normal/153.png Fake 21:42:41
./validation_images_normal/154.png Fake 21:42:43
./validation_images_normal/155.png Fake 21:42:46
./validation_images_normal/156.png Fake 21:42:48
./validation_images_normal/157.png Fake 21:42:51
./validation_images_normal/158.png Fake 21:42:53
./validation_images_normal/159.png Real 21:42:55
./validation_images_normal/160.png Real 21:42:59
./validation_images_normal/161.png Real 21:43:05
./validation_images_normal/162.png Fake 21:43:11
./validation_images_normal/163.png Real 21:43:15
./validation_images_normal/164.png Real 21:43:18
./validation_images_normal/165.png Real 21:43:22
./validation_images_normal/166.png Fake 21:43:25
./validation_images_normal/167.png Real 21:43:32
./validation_images_normal/168.png Real 21:43:38
./validation_images_normal/169.png Fake 21:44:34
./validation_images_normal/170.png Real 21:44:38
./validation_images_normal/171.png Real 21:44:48
./validation_images_normal/172.png Fake 21:44:52
./validation_images_normal/173.png Fake 21:44:59
./validation_images_normal/174.png Real 21:45:03
./validation_images_normal/175.png Real 21:45:09
./validation_images_normal/176.png Fake 21:45:12
./validation_images_normal/177.png Fake 21:45:15
./validation_images_normal/178.png Fake 21:45:20
./validation_images_normal/179.png Fake 21:45:53
./validation_images_normal/180.png Real 21:45:58
./validation_images_normal/181.png Fake 21:46:03
./validation_images_normal/182.png Real 21:46:13
./validation_images_normal/183.png Fake 21:46:18
./validation_images_normal/184.png Real 21:46:26
./validation_images_normal/185.png Fake 21:46:34
./validation_images_normal/186.png Fake 21:46:41
./validation_images_normal/187.png Fake 21:46:46
./validation_images_normal/188.png Real 21:46:51
./validation_images_normal/189.png Fake 21:46:54
./validation_images_normal/190.png Real 21:46:59
./validation_images_normal/191.png Real 21:47:03
./validation_images_normal/192.png Real 21:47:08
./validation_images_normal/193.png Real 21:47:12
./validation_images_normal/194.png Real 21:47:15
./validation_images_normal/195.png Real 21:47:52
./validation_images_normal/196.png Fake 21:47:55
./validation_images_normal/197.png Real 21:47:59
./validation_images_normal/198.png Fake 21:48:02
./validation_images_normal/199.png Real 21:48:05
./validation_images_normal/200.png Real 21:48:09
./validation_images_normal/201.png Fake 21:48:12
./validation_images_normal/202.png Real 21:48:16
./validation_images_normal/203.png Fake 21:48:19
./validation_images_normal/204.png Fake 21:48:23
./validation_images_normal/205.png Real 21:48:25
./validation_images_normal/206.png Real 21:48:29
./validation_images_normal/207.png Real 21:48:33
./validation_images_normal/208.png Fake 21:48:36
./validation_images_normal/209.png Fake 21:48:44
./validation_images_normal/210.png Real 21:48:50
./validation_images_normal/211.png Real 21:48:57
./validation_images_normal/212.png Real 21:49:06
./validation_images_normal/213.png Fake 21:49:10
./validation_images_normal/214.png Real 21:49:14
./validation_images_normal/215.png Real 21:49:18
./validation_images_normal/216.png Fake 21:51:53
./validation_images_normal/217.png Fake 21:51:58
./validation_images_normal/218.png Fake 21:52:07
./validation_images_normal/219.png Fake 21:52:15
./validation_images_normal/220.png Fake 21:52:27
./validation_images_normal/221.png Fake 21:52:59
./validation_images_normal/222.png Fake 21:53:14
./validation_images_normal/223.png Real 21:53:25
./validation_images_normal/224.png Real 21:53:54
./validation_images_normal/225.png Fake 21:53:59
./validation_images_normal/226.png Fake 21:54:48
./validation_images_normal/227.png Fake 21:54:52
./validation_images_normal/228.png Real 21:54:59
./validation_images_normal/229.png Fake 21:55:04
./validation_images_normal/230.png Real 21:55:08
./validation_images_normal/231.png Real 21:55:13
./validation_images_normal/232.png Real 21:55:18
./validation_images_normal/233.png Fake 21:55:29
./validation_images_normal/234.png Real 21:55:34
./validation_images_normal/235.png Fake 21:55:39
./validation_images_normal/236.png Real 21:55:44
./validation_images_normal/237.png Real 21:55:48
./validation_images_normal/238.png Fake 21:55:54
./validation_images_normal/239.png Fake 21:56:01
./validation_images_normal/240.png Real 21:58:25
./validation_images_normal/241.png Fake 21:58:29
./validation_images_normal/242.png Real 21:58:34
./validation_images_normal/243.png Real 21:58:38
./validation_images_normal/244.png Fake 21:58:42
./validation_images_normal/245.png Fake 21:58:49
./validation_images_normal/246.png Fake 21:58:55
./validation_images_normal/247.png Real 21:58:59
./validation_images_normal/248.png Fake 21:59:04
./validation_images_normal/249.png Fake 21:59:09
./validation_images_normal/250.png Real 21:59:12
./validation_images_normal/251.png Real 21:59:16
./validation_images_normal/252.png Fake 21:59:19
./validation_images_normal/253.png Real 21:59:24
./validation_images_normal/254.png Real 21:59:27
./validation_images_normal/255.png Fake 21:59:29
./validation_images_normal/256.png Fake 21:59:33
./validation_images_normal/257.png Real 21:59:36
./validation_images_normal/258.png Fake 21:59:39
./validation_images_normal/259.png Real 21:59:44
./validation_images_normal/260.png Fake 21:59:48
./validation_images_normal/261.png Real 21:59:51
./validation_images_normal/262.png Real 21:59:54
./validation_images_normal/263.png Real 21:59:56
./validation_images_normal/264.png Fake 21:59:58
./validation_images_normal/265.png Fake 22:00:01
./validation_images_normal/266.png Fake 22:00:05
./validation_images_normal/267.png Real 22:00:08
./validation_images_normal/268.png Real 22:00:11
./validation_images_normal/269.png Real 22:00:13
./validation_images_normal/270.png Fake 22:00:15
./validation_images_normal/271.png Real 22:00:18
./validation_images_normal/272.png Fake 22:00:22
./validation_images_normal/273.png Real 22:00:26
./validation_images_normal/274.png Fake 22:00:51
./validation_images_normal/275.png Fake 22:00:58
./validation_images_normal/276.png Real 22:01:01
./validation_images_normal/277.png Real 22:01:06
./validation_images_normal/278.png Fake 22:01:08
./validation_images_normal/279.png Real 22:01:12
./validation_images_normal/280.png Fake 22:01:16
./validation_images_normal/281.png Real 22:01:21
./validation_images_normal/282.png Real 22:01:24
./validation_images_normal/283.png Real 22:01:26
./validation_images_normal/284.png Real 22:01:28
./validation_images_normal/285.png Real 22:01:31
./validation_images_normal/286.png Real 22:01:34
./validation_images_normal/287.png Real 22:01:36
./validation_images_normal/288.png Real 22:01:40
./validation_images_normal/289.png Real 22:01:43
./validation_images_normal/290.png Real 22:01:46
./validation_images_normal/291.png Fake 22:01:48
./validation_images_normal/292.png Real 22:01:51
./validation_images_normal/293.png Fake 22:01:53
./validation_images_normal/294.png Fake 22:02:00
./validation_images_normal/295.png Real 22:02:05
./validation_images_normal/296.png Fake 22:02:10
./validation_images_normal/297.png Fake 22:02:13
./validation_images_normal/298.png Real 22:02:16
./validation_images_normal/299.png Fake 22:02:19
22:02:23
