D19044611 20190918 12:18:14
./validation_images_normal/83.png Fake 12:25:16
./validation_images_normal/84.png Real 12:25:21
./validation_images_normal/85.png Fake 12:25:25
./validation_images_normal/86.png Fake 12:25:28
./validation_images_normal/87.png Fake 12:25:33
./validation_images_normal/88.png Real 12:25:35
./validation_images_normal/89.png Real 12:25:42
./validation_images_normal/90.png Real 12:25:45
./validation_images_normal/91.png Fake 12:25:47
./validation_images_normal/92.png Fake 12:25:50
./validation_images_normal/93.png Fake 12:25:52
./validation_images_normal/94.png Real 12:26:02
./validation_images_normal/95.png Real 12:26:09
./validation_images_normal/96.png Real 12:26:15
./validation_images_normal/97.png Real 12:26:20
./validation_images_normal/98.png Real 12:26:26
./validation_images_normal/99.png Fake 12:26:31
./validation_images_normal/100.png Fake 12:26:37
./validation_images_normal/101.png Fake 12:26:56
./validation_images_normal/102.png Real 12:27:04
./validation_images_normal/103.png Real 12:27:08
./validation_images_normal/104.png Real 12:27:10
./validation_images_normal/105.png Fake 12:27:13
./validation_images_normal/106.png Fake 12:27:18
./validation_images_normal/107.png Fake 12:27:21
./validation_images_normal/108.png Fake 12:27:26
./validation_images_normal/109.png Real 12:27:29
./validation_images_normal/110.png Real 12:27:31
./validation_images_normal/111.png Real 12:27:33
./validation_images_normal/112.png Fake 12:27:36
./validation_images_normal/113.png Fake 12:27:38
./validation_images_normal/114.png Real 12:27:41
./validation_images_normal/115.png Real 12:27:43
./validation_images_normal/116.png Real 12:27:47
./validation_images_normal/117.png Real 12:27:49
./validation_images_normal/118.png Real 12:27:57
./validation_images_normal/119.png Real 12:28:31
./validation_images_normal/120.png Fake 12:28:34
./validation_images_normal/121.png Real 12:28:36
./validation_images_normal/122.png Fake 12:28:39
./validation_images_normal/123.png Real 12:28:58
./validation_images_normal/124.png Fake 12:29:01
./validation_images_normal/125.png Real 12:29:06
./validation_images_normal/126.png Fake 12:29:08
./validation_images_normal/127.png Fake 12:29:12
./validation_images_normal/128.png Real 12:29:21
./validation_images_normal/129.png Real 12:29:29
./validation_images_normal/130.png Real 12:29:36
./validation_images_normal/131.png Real 12:29:40
./validation_images_normal/132.png Fake 12:29:51
./validation_images_normal/133.png Fake 12:29:55
./validation_images_normal/134.png Real 13:00:54
./validation_images_normal/135.png Fake 13:00:57
./validation_images_normal/136.png Fake 13:01:02
./validation_images_normal/137.png Fake 13:01:10
./validation_images_normal/138.png Fake 13:01:15
./validation_images_normal/139.png Real 13:01:29
./validation_images_normal/140.png Fake 13:01:35
./validation_images_normal/141.png Fake 13:01:41
./validation_images_normal/142.png Fake 13:01:44
./validation_images_normal/143.png Real 13:01:48
./validation_images_normal/144.png Real 13:01:51
./validation_images_normal/145.png Real 13:01:55
./validation_images_normal/146.png Fake 13:01:57
./validation_images_normal/147.png Real 13:02:00
./validation_images_normal/148.png Real 13:02:03
./validation_images_normal/149.png Fake 13:02:05
./validation_images_normal/150.png Fake 13:02:08
./validation_images_normal/151.png Fake 13:02:12
./validation_images_normal/152.png Fake 13:02:21
./validation_images_normal/153.png Fake 13:02:24
./validation_images_normal/154.png Fake 13:02:30
./validation_images_normal/155.png Real 13:02:32
./validation_images_normal/156.png Real 13:02:35
./validation_images_normal/157.png Fake 13:02:39
./validation_images_normal/158.png Fake 13:02:42
./validation_images_normal/159.png Real 13:02:45
./validation_images_normal/160.png Fake 13:02:47
./validation_images_normal/161.png Real 13:02:50
./validation_images_normal/162.png Fake 13:02:52
./validation_images_normal/163.png Real 13:02:54
./validation_images_normal/164.png Real 13:02:57
./validation_images_normal/165.png Real 13:03:04
./validation_images_normal/166.png Fake 13:03:09
./validation_images_normal/167.png Real 13:03:11
./validation_images_normal/168.png Fake 13:03:14
./validation_images_normal/169.png Fake 13:03:18
./validation_images_normal/170.png Real 13:03:21
./validation_images_normal/171.png Real 13:03:24
./validation_images_normal/172.png Fake 13:03:28
./validation_images_normal/173.png Fake 13:03:31
./validation_images_normal/174.png Real 13:03:34
./validation_images_normal/175.png Real 13:03:37
./validation_images_normal/176.png Real 13:03:43
./validation_images_normal/177.png Fake 13:03:46
./validation_images_normal/178.png Fake 13:03:49
./validation_images_normal/179.png Real 13:03:53
./validation_images_normal/180.png Real 13:03:57
./validation_images_normal/181.png Fake 13:04:01
./validation_images_normal/182.png Real 13:04:06
./validation_images_normal/183.png Fake 13:04:08
./validation_images_normal/184.png Real 13:04:13
./validation_images_normal/185.png Fake 13:04:15
./validation_images_normal/186.png Fake 13:04:19
./validation_images_normal/187.png Fake 13:04:31
./validation_images_normal/188.png Real 13:04:35
./validation_images_normal/189.png Fake 13:04:37
./validation_images_normal/190.png Real 13:04:41
./validation_images_normal/191.png Real 13:04:44
./validation_images_normal/192.png Real 13:04:46
./validation_images_normal/193.png Real 13:04:49
./validation_images_normal/194.png Real 13:04:51
./validation_images_normal/195.png Real 13:04:54
./validation_images_normal/196.png Fake 13:04:56
./validation_images_normal/197.png Real 13:05:01
./validation_images_normal/198.png Fake 13:05:04
./validation_images_normal/199.png Real 13:05:11
./validation_images_normal/200.png Real 13:05:16
./validation_images_normal/201.png Fake 13:05:19
./validation_images_normal/202.png Real 13:05:22
./validation_images_normal/203.png Real 13:05:25
./validation_images_normal/204.png Real 13:05:29
./validation_images_normal/205.png Real 13:05:35
./validation_images_normal/206.png Real 13:05:56
./validation_images_normal/207.png Real 13:06:01
./validation_images_normal/208.png Fake 13:06:04
./validation_images_normal/209.png Fake 13:06:09
./validation_images_normal/210.png Real 13:06:18
./validation_images_normal/211.png Real 13:06:22
./validation_images_normal/212.png Fake 13:06:26
./validation_images_normal/213.png Fake 13:06:33
./validation_images_normal/214.png Real 13:06:36
./validation_images_normal/215.png Real 13:06:40
./validation_images_normal/216.png Fake 13:06:42
./validation_images_normal/217.png Fake 13:06:50
./validation_images_normal/218.png Fake 13:06:54
./validation_images_normal/219.png Fake 13:07:01
./validation_images_normal/220.png Fake 13:07:05
./validation_images_normal/221.png Fake 13:07:08
./validation_images_normal/222.png Fake 13:07:11
./validation_images_normal/223.png Fake 13:07:13
./validation_images_normal/224.png Fake 13:07:16
./validation_images_normal/225.png Real 13:07:18
./validation_images_normal/226.png Fake 13:07:22
./validation_images_normal/227.png Real 13:07:24
./validation_images_normal/228.png Real 13:07:27
./validation_images_normal/229.png Fake 13:07:30
./validation_images_normal/230.png Real 13:07:33
./validation_images_normal/231.png Real 13:07:35
./validation_images_normal/232.png Real 13:07:38
./validation_images_normal/233.png Fake 13:07:40
./validation_images_normal/234.png Fake 13:07:42
./validation_images_normal/235.png Fake 13:07:48
./validation_images_normal/236.png Real 13:07:50
./validation_images_normal/237.png Real 13:07:54
./validation_images_normal/238.png Fake 13:07:57
./validation_images_normal/239.png Fake 13:08:00
./validation_images_normal/240.png Fake 13:08:02
./validation_images_normal/241.png Real 13:08:07
./validation_images_normal/242.png Real 13:08:10
./validation_images_normal/243.png Real 13:08:12
./validation_images_normal/244.png Fake 13:08:15
./validation_images_normal/245.png Real 13:08:19
./validation_images_normal/246.png Fake 13:08:28
./validation_images_normal/247.png Real 13:08:37
./validation_images_normal/248.png Real 13:08:44
./validation_images_normal/249.png Fake 13:08:53
./validation_images_normal/250.png Real 13:08:57
./validation_images_normal/251.png Real 13:09:00
./validation_images_normal/252.png Fake 13:09:03
./validation_images_normal/253.png Real 13:09:06
./validation_images_normal/254.png Real 13:09:09
./validation_images_normal/255.png Fake 13:09:11
./validation_images_normal/256.png Fake 13:09:14
./validation_images_normal/257.png Real 13:09:18
./validation_images_normal/258.png Fake 13:09:20
./validation_images_normal/259.png Real 13:09:23
./validation_images_normal/260.png Real 13:09:26
./validation_images_normal/261.png Real 13:09:27
./validation_images_normal/262.png Real 13:09:29
./validation_images_normal/263.png Real 13:09:32
./validation_images_normal/264.png Real 13:09:34
./validation_images_normal/265.png Real 13:09:37
./validation_images_normal/266.png Fake 13:09:42
./validation_images_normal/267.png Real 13:09:45
./validation_images_normal/268.png Real 13:09:49
./validation_images_normal/269.png Real 13:09:51
./validation_images_normal/270.png Fake 13:09:53
./validation_images_normal/271.png Real 13:09:56
./validation_images_normal/272.png Fake 13:09:58
./validation_images_normal/273.png Real 13:10:02
./validation_images_normal/274.png Real 13:10:04
./validation_images_normal/275.png Real 13:10:06
./validation_images_normal/276.png Real 13:10:09
./validation_images_normal/277.png Real 13:10:11
./validation_images_normal/278.png Real 13:10:13
./validation_images_normal/279.png Real 13:10:21
./validation_images_normal/280.png Real 13:10:24
./validation_images_normal/281.png Real 13:10:26
./validation_images_normal/282.png Real 13:10:28
./validation_images_normal/283.png Real 13:10:30
./validation_images_normal/284.png Real 13:10:33
./validation_images_normal/285.png Real 13:10:35
./validation_images_normal/286.png Real 13:10:37
./validation_images_normal/287.png Fake 13:10:39
./validation_images_normal/288.png Real 13:10:44
./validation_images_normal/289.png Real 13:10:47
./validation_images_normal/290.png Real 13:10:49
./validation_images_normal/291.png Fake 13:10:51
./validation_images_normal/292.png Real 13:10:54
./validation_images_normal/293.png Fake 13:10:58
./validation_images_normal/294.png Fake 13:11:01
./validation_images_normal/295.png Real 13:11:05
./validation_images_normal/296.png Fake 13:11:07
./validation_images_normal/297.png Real 13:11:10
./validation_images_normal/298.png Real 13:11:13
./validation_images_normal/299.png Fake 13:11:15
13:11:18
