pooh01 20190917 17:23:27
./validation_images_normal/52.png Fake 17:27:10
./validation_images_normal/53.png Real 17:27:12
./validation_images_normal/54.png Real 17:27:15
./validation_images_normal/55.png Real 17:27:18
./validation_images_normal/56.png Real 17:27:20
./validation_images_normal/57.png Real 17:27:23
./validation_images_normal/58.png Real 17:27:27
./validation_images_normal/59.png Real 17:27:29
./validation_images_normal/60.png Fake 17:27:31
./validation_images_normal/61.png Real 17:27:35
./validation_images_normal/62.png Real 17:27:38
./validation_images_normal/63.png Real 17:27:40
./validation_images_normal/64.png Real 17:27:43
./validation_images_normal/65.png Real 17:27:45
./validation_images_normal/66.png Real 17:27:48
./validation_images_normal/67.png Fake 17:27:50
./validation_images_normal/68.png Real 17:28:02
./validation_images_normal/69.png Fake 17:28:09
./validation_images_normal/70.png Fake 17:28:22
./validation_images_normal/71.png Real 17:28:29
./validation_images_normal/72.png Real 17:28:32
./validation_images_normal/73.png Real 17:28:36
./validation_images_normal/74.png Real 17:28:40
./validation_images_normal/75.png Fake 17:28:42
./validation_images_normal/76.png Fake 17:29:15
./validation_images_normal/77.png Fake 17:29:23
./validation_images_normal/78.png Fake 17:30:31
./validation_images_normal/79.png Fake 17:30:40
./validation_images_normal/80.png Fake 17:30:51
./validation_images_normal/81.png Fake 17:30:57
./validation_images_normal/82.png Fake 17:31:05
./validation_images_normal/83.png Fake 17:31:52
./validation_images_normal/84.png Real 17:34:36
./validation_images_normal/85.png Fake 17:34:48
./validation_images_normal/86.png Fake 17:34:55
./validation_images_normal/87.png Fake 17:35:04
./validation_images_normal/88.png Real 17:35:15
./validation_images_normal/89.png Real 17:35:21
./validation_images_normal/90.png Real 17:35:27
./validation_images_normal/91.png Fake 17:35:48
./validation_images_normal/92.png Fake 17:35:57
./validation_images_normal/93.png Real 17:36:02
./validation_images_normal/94.png Real 17:36:16
./validation_images_normal/95.png Real 17:36:23
./validation_images_normal/96.png Real 17:36:36
./validation_images_normal/97.png Fake 17:36:41
./validation_images_normal/98.png Real 17:36:52
./validation_images_normal/99.png Fake 17:36:58
./validation_images_normal/100.png Fake 17:37:04
./validation_images_normal/101.png Fake 17:37:11
./validation_images_normal/102.png Real 17:37:19
./validation_images_normal/103.png Fake 17:37:25
./validation_images_normal/104.png Real 17:37:30
./validation_images_normal/105.png Fake 17:37:34
./validation_images_normal/106.png Fake 17:38:09
./validation_images_normal/107.png Fake 17:38:13
./validation_images_normal/108.png Fake 17:38:19
./validation_images_normal/109.png Real 17:38:24
./validation_images_normal/110.png Real 17:38:28
./validation_images_normal/111.png Real 17:38:32
./validation_images_normal/112.png Fake 17:38:37
./validation_images_normal/113.png Fake 17:38:42
./validation_images_normal/114.png Real 17:38:47
./validation_images_normal/115.png Fake 17:38:50
./validation_images_normal/116.png Real 17:38:58
./validation_images_normal/117.png Real 17:39:02
./validation_images_normal/118.png Real 17:39:07
./validation_images_normal/119.png Real 17:39:10
./validation_images_normal/120.png Fake 17:39:14
./validation_images_normal/121.png Fake 17:39:17
./validation_images_normal/122.png Fake 17:39:23
./validation_images_normal/123.png Real 17:39:28
./validation_images_normal/124.png Real 17:39:32
./validation_images_normal/125.png Real 17:39:35
./validation_images_normal/126.png Fake 17:39:38
./validation_images_normal/127.png Fake 17:39:43
./validation_images_normal/128.png Real 17:39:49
./validation_images_normal/129.png Fake 17:39:54
./validation_images_normal/130.png Real 17:39:58
./validation_images_normal/131.png Real 17:40:02
./validation_images_normal/132.png Fake 17:40:07
./validation_images_normal/133.png Fake 17:40:12
./validation_images_normal/134.png Real 17:40:16
./validation_images_normal/135.png Real 17:40:20
./validation_images_normal/136.png Fake 17:40:23
./validation_images_normal/137.png Fake 17:40:34
./validation_images_normal/138.png Fake 17:40:42
./validation_images_normal/139.png Real 17:40:47
./validation_images_normal/140.png Fake 17:40:51
./validation_images_normal/141.png Fake 17:40:56
./validation_images_normal/142.png Fake 17:40:59
./validation_images_normal/143.png Real 17:41:03
./validation_images_normal/144.png Fake 17:41:09
./validation_images_normal/145.png Real 17:41:34
./validation_images_normal/146.png Fake 17:41:43
./validation_images_normal/147.png Real 17:41:48
./validation_images_normal/148.png Real 17:41:52
./validation_images_normal/149.png Fake 17:41:58
./validation_images_normal/150.png Fake 17:42:02
./validation_images_normal/151.png Real 17:42:11
./validation_images_normal/152.png Real 17:42:16
./validation_images_normal/153.png Real 17:42:22
./validation_images_normal/154.png Fake 17:42:26
./validation_images_normal/155.png Real 17:42:29
./validation_images_normal/156.png Real 17:42:32
./validation_images_normal/157.png Fake 17:42:35
./validation_images_normal/158.png Real 17:42:41
./validation_images_normal/159.png Real 17:42:47
./validation_images_normal/160.png Fake 17:42:50
./validation_images_normal/161.png Real 17:42:54
./validation_images_normal/162.png Fake 17:42:58
./validation_images_normal/163.png Real 17:43:07
./validation_images_normal/164.png Real 17:43:11
./validation_images_normal/165.png Real 17:43:14
./validation_images_normal/166.png Real 17:43:17
./validation_images_normal/167.png Real 17:43:22
./validation_images_normal/168.png Real 17:43:25
./validation_images_normal/169.png Fake 17:43:28
./validation_images_normal/170.png Real 17:43:37
./validation_images_normal/171.png Real 17:43:40
./validation_images_normal/172.png Fake 17:43:43
./validation_images_normal/173.png Fake 17:43:48
./validation_images_normal/174.png Real 17:43:52
./validation_images_normal/175.png Fake 17:43:54
./validation_images_normal/176.png Fake 17:45:37
./validation_images_normal/177.png Fake 17:45:41
./validation_images_normal/178.png Fake 17:45:44
./validation_images_normal/179.png Real 17:45:51
./validation_images_normal/180.png Real 17:45:55
./validation_images_normal/181.png Real 17:46:00
./validation_images_normal/182.png Real 17:46:06
./validation_images_normal/183.png Fake 17:46:09
./validation_images_normal/184.png Real 17:46:13
./validation_images_normal/185.png Real 17:46:17
./validation_images_normal/186.png Real 17:46:25
./validation_images_normal/187.png Real 17:46:28
./validation_images_normal/188.png Real 17:46:33
./validation_images_normal/189.png Fake 17:46:37
./validation_images_normal/190.png Fake 17:46:42
./validation_images_normal/191.png Real 17:46:46
./validation_images_normal/192.png Real 17:46:49
./validation_images_normal/193.png Real 17:46:54
./validation_images_normal/194.png Real 17:46:58
./validation_images_normal/195.png Real 17:47:01
./validation_images_normal/196.png Fake 17:47:04
./validation_images_normal/197.png Real 17:47:08
./validation_images_normal/198.png Fake 17:48:01
./validation_images_normal/199.png Real 17:48:33
./validation_images_normal/200.png Real 17:48:40
./validation_images_normal/201.png Fake 17:49:25
./validation_images_normal/202.png Real 17:49:30
./validation_images_normal/203.png Fake 17:49:35
./validation_images_normal/204.png Real 17:49:47
./validation_images_normal/205.png Fake 17:50:53
./validation_images_normal/206.png Fake 17:51:01
./validation_images_normal/207.png Real 17:51:17
./validation_images_normal/208.png Fake 17:51:23
./validation_images_normal/209.png Fake 17:51:30
./validation_images_normal/210.png Real 17:51:36
./validation_images_normal/211.png Real 17:51:42
./validation_images_normal/212.png Fake 17:51:48
./validation_images_normal/213.png Fake 17:51:51
./validation_images_normal/214.png Real 17:51:54
./validation_images_normal/215.png Real 17:52:06
./validation_images_normal/216.png Fake 17:52:14
./validation_images_normal/217.png Fake 17:52:19
./validation_images_normal/218.png Fake 17:52:23
./validation_images_normal/219.png Fake 17:52:27
./validation_images_normal/220.png Fake 17:52:34
./validation_images_normal/221.png Fake 17:52:38
./validation_images_normal/222.png Fake 17:52:41
./validation_images_normal/223.png Real 17:52:45
./validation_images_normal/224.png Fake 17:52:50
./validation_images_normal/225.png Real 17:52:55
./validation_images_normal/226.png Real 17:52:59
./validation_images_normal/227.png Fake 17:53:04
./validation_images_normal/228.png Real 17:53:08
./validation_images_normal/229.png Real 17:53:11
./validation_images_normal/230.png Real 17:53:14
./validation_images_normal/231.png Real 17:53:18
./validation_images_normal/232.png Real 17:53:22
./validation_images_normal/233.png Fake 17:53:25
./validation_images_normal/234.png Real 17:53:29
./validation_images_normal/235.png Fake 17:53:36
./validation_images_normal/236.png Real 17:53:41
./validation_images_normal/237.png Real 17:53:44
./validation_images_normal/238.png Fake 17:53:49
./validation_images_normal/239.png Real 17:53:57
./validation_images_normal/240.png Fake 17:54:01
./validation_images_normal/241.png Fake 17:54:05
./validation_images_normal/242.png Real 17:54:12
./validation_images_normal/243.png Real 17:54:16
./validation_images_normal/244.png Fake 17:54:20
./validation_images_normal/245.png Real 17:54:29
./validation_images_normal/246.png Real 17:54:36
./validation_images_normal/247.png Real 17:54:41
./validation_images_normal/248.png Fake 17:54:45
./validation_images_normal/249.png Fake 17:54:50
./validation_images_normal/250.png Real 17:54:54
./validation_images_normal/251.png Real 17:54:57
./validation_images_normal/252.png Fake 17:55:01
./validation_images_normal/253.png Real 17:55:04
./validation_images_normal/254.png Real 17:55:08
./validation_images_normal/255.png Fake 17:55:13
./validation_images_normal/256.png Real 17:55:20
./validation_images_normal/257.png Real 17:55:25
./validation_images_normal/258.png Fake 17:55:28
./validation_images_normal/259.png Real 17:55:38
./validation_images_normal/260.png Real 17:55:43
./validation_images_normal/261.png Real 17:55:47
./validation_images_normal/262.png Real 17:55:52
./validation_images_normal/263.png Real 17:56:04
./validation_images_normal/264.png Fake 17:56:10
./validation_images_normal/265.png Fake 17:56:14
./validation_images_normal/266.png Real 17:56:18
./validation_images_normal/267.png Real 17:56:24
./validation_images_normal/268.png Real 17:56:28
./validation_images_normal/269.png Real 17:56:33
./validation_images_normal/270.png Fake 17:56:36
./validation_images_normal/271.png Real 17:56:42
./validation_images_normal/272.png Real 17:56:46
./validation_images_normal/273.png Real 17:56:50
./validation_images_normal/274.png Fake 17:56:55
./validation_images_normal/275.png Real 17:57:00
./validation_images_normal/276.png Real 17:57:07
./validation_images_normal/277.png Real 17:57:11
./validation_images_normal/278.png Real 17:57:14
./validation_images_normal/279.png Real 17:57:25
./validation_images_normal/280.png Real 17:57:29
./validation_images_normal/281.png Real 17:57:36
./validation_images_normal/282.png Real 17:57:44
./validation_images_normal/283.png Real 17:57:48
./validation_images_normal/284.png Real 17:57:53
./validation_images_normal/285.png Real 17:57:57
./validation_images_normal/286.png Real 17:58:01
./validation_images_normal/287.png Fake 17:58:06
./validation_images_normal/288.png Real 17:58:09
./validation_images_normal/289.png Real 17:58:12
./validation_images_normal/290.png Real 17:58:15
./validation_images_normal/291.png Fake 17:58:19
./validation_images_normal/292.png Real 17:58:23
./validation_images_normal/293.png Real 17:58:27
./validation_images_normal/294.png Fake 17:58:31
./validation_images_normal/295.png Real 17:58:39
./validation_images_normal/296.png Fake 17:58:44
./validation_images_normal/297.png Real 17:58:49
./validation_images_normal/298.png Real 17:58:54
./validation_images_normal/299.png Fake 17:58:57
17:59:01
