BK11 20190916 17:08:05
./validation_images_normal/87.png Fake 17:22:00
./validation_images_normal/88.png Real 17:22:11
./validation_images_normal/89.png Fake 17:22:29
./validation_images_normal/90.png Real 17:22:39
./validation_images_normal/91.png Fake 17:22:46
./validation_images_normal/92.png Fake 17:23:21
./validation_images_normal/93.png Real 17:23:40
./validation_images_normal/94.png Real 17:23:55
./validation_images_normal/95.png Real 17:24:01
./validation_images_normal/96.png Real 17:24:10
./validation_images_normal/97.png Real 17:24:16
./validation_images_normal/98.png Real 17:24:25
./validation_images_normal/99.png Fake 17:24:34
./validation_images_normal/100.png Fake 17:24:45
./validation_images_normal/101.png Fake 17:24:55
./validation_images_normal/102.png Real 17:25:02
./validation_images_normal/103.png Fake 17:25:09
./validation_images_normal/104.png Real 17:25:51
./validation_images_normal/105.png Real 17:26:00
./validation_images_normal/106.png Real 17:26:09
./validation_images_normal/107.png Fake 17:26:20
./validation_images_normal/108.png Fake 17:26:41
./validation_images_normal/109.png Real 17:26:46
./validation_images_normal/110.png Real 17:26:56
./validation_images_normal/111.png Real 17:27:00
./validation_images_normal/112.png Real 17:27:07
./validation_images_normal/113.png Fake 17:28:21
./validation_images_normal/114.png Real 17:28:26
./validation_images_normal/115.png Fake 17:28:31
./validation_images_normal/116.png Real 17:28:45
./validation_images_normal/117.png Real 17:28:50
./validation_images_normal/118.png Real 17:29:02
./validation_images_normal/119.png Real 17:29:07
./validation_images_normal/120.png Fake 17:29:11
./validation_images_normal/121.png Real 17:29:30
./validation_images_normal/122.png Fake 17:29:36
./validation_images_normal/123.png Real 17:29:52
./validation_images_normal/124.png Fake 17:30:01
./validation_images_normal/125.png Real 17:30:13
./validation_images_normal/126.png Fake 17:30:18
./validation_images_normal/127.png Fake 17:30:26
./validation_images_normal/128.png Real 17:30:48
./validation_images_normal/129.png Fake 17:30:53
./validation_images_normal/130.png Real 17:31:06
./validation_images_normal/131.png Real 17:31:11
./validation_images_normal/132.png Fake 17:31:16
./validation_images_normal/133.png Fake 17:31:35
./validation_images_normal/134.png Real 17:31:48
./validation_images_normal/135.png Real 17:31:56
./validation_images_normal/136.png Real 17:32:01
./validation_images_normal/137.png Fake 17:32:13
./validation_images_normal/138.png Fake 17:32:25
./validation_images_normal/139.png Fake 17:32:40
./validation_images_normal/140.png Fake 17:32:48
./validation_images_normal/141.png Fake 17:32:55
./validation_images_normal/142.png Fake 17:33:07
./validation_images_normal/143.png Real 17:33:14
./validation_images_normal/144.png Real 17:33:21
./validation_images_normal/145.png Real 17:33:26
./validation_images_normal/146.png Fake 17:33:34
./validation_images_normal/147.png Real 17:33:52
./validation_images_normal/148.png Real 17:34:05
./validation_images_normal/149.png Fake 17:34:17
./validation_images_normal/150.png Fake 17:34:31
./validation_images_normal/151.png Real 17:34:44
./validation_images_normal/152.png Fake 17:34:54
./validation_images_normal/153.png Real 17:35:02
./validation_images_normal/154.png Fake 17:35:08
./validation_images_normal/155.png Real 17:35:18
./validation_images_normal/156.png Real 17:35:27
./validation_images_normal/157.png Real 17:35:33
./validation_images_normal/158.png Real 17:35:51
./validation_images_normal/159.png Real 17:35:57
./validation_images_normal/160.png Real 17:36:03
./validation_images_normal/161.png Real 17:36:08
./validation_images_normal/162.png Fake 17:36:14
./validation_images_normal/163.png Real 17:36:19
./validation_images_normal/164.png Real 17:36:23
./validation_images_normal/165.png Real 17:36:26
./validation_images_normal/166.png Real 17:36:30
./validation_images_normal/167.png Real 17:36:37
./validation_images_normal/168.png Real 17:36:42
./validation_images_normal/169.png Fake 17:36:56
./validation_images_normal/170.png Real 17:37:00
./validation_images_normal/171.png Real 17:37:04
./validation_images_normal/172.png Fake 17:37:12
./validation_images_normal/173.png Fake 17:37:18
./validation_images_normal/174.png Real 17:37:26
./validation_images_normal/175.png Real 17:37:30
./validation_images_normal/176.png Real 17:37:35
./validation_images_normal/177.png Fake 17:37:41
./validation_images_normal/178.png Fake 17:37:49
./validation_images_normal/179.png Real 17:38:06
./validation_images_normal/180.png Real 17:38:10
./validation_images_normal/181.png Fake 17:38:16
./validation_images_normal/182.png Real 17:38:25
./validation_images_normal/183.png Real 17:38:32
./validation_images_normal/184.png Real 17:38:53
./validation_images_normal/185.png Fake 17:38:59
./validation_images_normal/186.png Fake 17:39:08
./validation_images_normal/187.png Fake 17:39:14
./validation_images_normal/188.png Real 17:39:22
./validation_images_normal/189.png Fake 17:39:26
./validation_images_normal/190.png Real 17:39:32
./validation_images_normal/191.png Real 17:39:36
./validation_images_normal/192.png Real 17:39:41
./validation_images_normal/193.png Real 17:39:44
./validation_images_normal/194.png Real 17:39:48
./validation_images_normal/195.png Real 17:39:51
./validation_images_normal/196.png Fake 17:39:56
./validation_images_normal/197.png Real 17:39:59
./validation_images_normal/198.png Fake 17:40:02
./validation_images_normal/199.png Real 17:40:07
./validation_images_normal/200.png Real 17:40:10
./validation_images_normal/201.png Fake 17:40:12
./validation_images_normal/202.png Real 17:40:16
./validation_images_normal/203.png Fake 17:40:18
./validation_images_normal/204.png Fake 17:40:24
./validation_images_normal/205.png Fake 17:40:31
./validation_images_normal/206.png Real 17:40:36
./validation_images_normal/207.png Real 17:40:41
./validation_images_normal/208.png Fake 17:40:44
./validation_images_normal/209.png Fake 17:40:55
./validation_images_normal/210.png Real 17:41:00
./validation_images_normal/211.png Fake 17:41:05
./validation_images_normal/212.png Fake 17:41:08
./validation_images_normal/213.png Fake 17:41:10
./validation_images_normal/214.png Real 17:41:13
./validation_images_normal/215.png Real 17:41:17
./validation_images_normal/216.png Fake 17:41:22
./validation_images_normal/217.png Fake 17:41:41
./validation_images_normal/218.png Fake 17:41:44
./validation_images_normal/219.png Fake 17:41:48
./validation_images_normal/220.png Fake 17:41:53
./validation_images_normal/221.png Fake 17:41:56
./validation_images_normal/222.png Fake 17:41:59
./validation_images_normal/223.png Fake 17:42:03
./validation_images_normal/224.png Fake 17:42:08
./validation_images_normal/225.png Fake 17:42:11
./validation_images_normal/226.png Fake 17:42:14
./validation_images_normal/227.png Fake 17:42:16
./validation_images_normal/228.png Real 17:42:19
./validation_images_normal/229.png Fake 17:42:22
./validation_images_normal/230.png Fake 17:42:31
./validation_images_normal/231.png Real 17:42:49
./validation_images_normal/232.png Real 17:42:53
./validation_images_normal/233.png Fake 17:42:59
./validation_images_normal/234.png Fake 17:43:20
./validation_images_normal/235.png Fake 17:43:40
./validation_images_normal/236.png Real 17:43:46
./validation_images_normal/237.png Fake 17:43:52
./validation_images_normal/238.png Fake 17:44:13
./validation_images_normal/239.png Fake 17:44:17
./validation_images_normal/240.png Fake 17:44:20
./validation_images_normal/241.png Fake 17:44:23
./validation_images_normal/242.png Real 17:44:26
./validation_images_normal/243.png Real 17:44:31
./validation_images_normal/244.png Fake 17:44:37
./validation_images_normal/245.png Real 17:44:40
./validation_images_normal/246.png Fake 17:44:43
./validation_images_normal/247.png Fake 17:44:49
./validation_images_normal/248.png Real 17:44:54
./validation_images_normal/249.png Fake 17:44:58
./validation_images_normal/250.png Real 17:45:02
./validation_images_normal/251.png Real 17:45:08
./validation_images_normal/252.png Fake 17:45:11
./validation_images_normal/253.png Real 17:45:15
./validation_images_normal/254.png Real 17:45:19
./validation_images_normal/255.png Fake 17:45:21
./validation_images_normal/256.png Real 17:45:24
./validation_images_normal/257.png Real 17:45:28
./validation_images_normal/258.png Fake 17:45:31
./validation_images_normal/259.png Real 17:45:33
./validation_images_normal/260.png Fake 17:45:37
./validation_images_normal/261.png Real 17:45:40
./validation_images_normal/262.png Fake 17:45:43
./validation_images_normal/263.png Real 17:45:53
./validation_images_normal/264.png Fake 17:45:56
./validation_images_normal/265.png Fake 17:46:02
./validation_images_normal/266.png Fake 17:46:05
./validation_images_normal/267.png Real 17:46:08
./validation_images_normal/268.png Fake 17:46:12
./validation_images_normal/269.png Real 17:46:15
./validation_images_normal/270.png Fake 17:46:18
./validation_images_normal/271.png Real 17:46:21
./validation_images_normal/272.png Fake 17:46:28
./validation_images_normal/273.png Real 17:46:31
./validation_images_normal/274.png Fake 17:46:37
./validation_images_normal/275.png Fake 17:46:40
./validation_images_normal/276.png Real 17:46:42
./validation_images_normal/277.png Real 17:46:45
./validation_images_normal/278.png Fake 17:46:48
./validation_images_normal/279.png Real 17:46:51
./validation_images_normal/280.png Real 17:46:56
./validation_images_normal/281.png Real 17:46:58
./validation_images_normal/282.png Real 17:47:03
./validation_images_normal/283.png Real 17:47:09
./validation_images_normal/284.png Real 17:47:13
./validation_images_normal/285.png Real 17:47:18
./validation_images_normal/286.png Real 17:47:24
./validation_images_normal/287.png Fake 17:47:30
./validation_images_normal/288.png Real 17:47:34
./validation_images_normal/289.png Fake 17:47:38
./validation_images_normal/290.png Real 17:47:43
./validation_images_normal/291.png Fake 17:47:47
./validation_images_normal/292.png Real 17:47:50
./validation_images_normal/293.png Fake 17:47:53
./validation_images_normal/294.png Fake 17:48:02
./validation_images_normal/295.png Real 17:48:05
./validation_images_normal/296.png Fake 17:48:08
./validation_images_normal/297.png Fake 17:48:11
./validation_images_normal/298.png Real 17:48:14
./validation_images_normal/299.png Fake 17:48:17
17:48:20
