Jaedapa13 20190916 21:04:29
./validation_images_normal/91.png Fake 21:17:36
./validation_images_normal/92.png Fake 21:17:40
./validation_images_normal/93.png Fake 21:17:49
./validation_images_normal/94.png Fake 21:18:02

./validation_images_normal/96.png Real 21:18:14
./validation_images_normal/97.png Real 21:18:17
./validation_images_normal/98.png Real 21:18:21
./validation_images_normal/99.png Real 21:18:24
./validation_images_normal/100.png Fake 21:18:30
./validation_images_normal/101.png Real 21:19:00
./validation_images_normal/102.png Fake 21:19:04
./validation_images_normal/103.png Real 21:19:11
./validation_images_normal/104.png Fake 21:19:14
./validation_images_normal/105.png Fake 21:19:27
./validation_images_normal/106.png Real 21:19:32
./validation_images_normal/107.png Fake 21:19:35
./validation_images_normal/108.png Real 21:19:39
./validation_images_normal/109.png Real 21:19:41
./validation_images_normal/110.png Real 21:19:54
./validation_images_normal/111.png Fake 21:19:58
./validation_images_normal/112.png Fake 21:20:03
./validation_images_normal/113.png Real 21:20:10
./validation_images_normal/114.png Real 21:20:16
./validation_images_normal/115.png Fake 21:20:19
./validation_images_normal/116.png Real 21:20:29
./validation_images_normal/117.png Fake 21:20:38
./validation_images_normal/118.png Fake 21:20:42
./validation_images_normal/119.png Real 21:20:46

./validation_images_normal/121.png Real 21:20:58
./validation_images_normal/122.png Fake 21:21:02
./validation_images_normal/123.png Fake 21:21:05
./validation_images_normal/124.png Fake 21:21:09
./validation_images_normal/125.png Real 21:21:13
./validation_images_normal/126.png Real 21:21:16
./validation_images_normal/127.png Fake 21:21:19
./validation_images_normal/128.png Fake 21:21:22
./validation_images_normal/129.png Real 21:21:25
./validation_images_normal/130.png Real 21:21:36
./validation_images_normal/131.png Real 21:21:39
./validation_images_normal/132.png Fake 21:21:42
./validation_images_normal/133.png Fake 21:21:46
./validation_images_normal/134.png Real 21:21:50
./validation_images_normal/135.png Real 21:21:53
./validation_images_normal/136.png Real 21:21:56
./validation_images_normal/137.png Fake 21:22:00
./validation_images_normal/138.png Fake 21:22:05
./validation_images_normal/139.png Fake 21:22:10
./validation_images_normal/140.png Fake 21:22:13
./validation_images_normal/141.png Real 21:22:18
./validation_images_normal/142.png Fake 21:22:21
./validation_images_normal/143.png Real 21:22:24
./validation_images_normal/144.png Fake 21:22:27
./validation_images_normal/145.png Real 21:22:46
./validation_images_normal/146.png Fake 21:22:51
./validation_images_normal/147.png Fake 21:22:55
./validation_images_normal/148.png Fake 21:22:58
./validation_images_normal/149.png Fake 21:23:04
./validation_images_normal/150.png Fake 21:23:09
./validation_images_normal/151.png Fake 21:23:13
./validation_images_normal/152.png Real 21:23:18
./validation_images_normal/153.png Fake 21:23:21
./validation_images_normal/154.png Fake 21:23:27
./validation_images_normal/155.png Fake 21:23:40
./validation_images_normal/156.png Fake 21:23:45
./validation_images_normal/157.png Fake 21:23:57
./validation_images_normal/158.png Real 21:24:27
./validation_images_normal/159.png Real 21:24:31
./validation_images_normal/160.png Fake 21:24:34
./validation_images_normal/161.png Real 21:24:37
./validation_images_normal/162.png Fake 21:24:39
./validation_images_normal/163.png Fake 21:24:45
./validation_images_normal/164.png Fake 21:24:48
./validation_images_normal/165.png Real 21:24:51
./validation_images_normal/166.png Real 21:24:56
./validation_images_normal/167.png Real 21:24:58
./validation_images_normal/168.png Real 21:25:03
./validation_images_normal/169.png Fake 21:25:10
./validation_images_normal/170.png Real 21:25:15
./validation_images_normal/171.png Real 21:25:27
./validation_images_normal/172.png Fake 21:25:30
./validation_images_normal/173.png Fake 21:25:34
./validation_images_normal/174.png Fake 21:25:36
./validation_images_normal/175.png Fake 21:25:42
./validation_images_normal/176.png Real 21:25:48
./validation_images_normal/177.png Fake 21:25:50
./validation_images_normal/178.png Real 21:25:57
./validation_images_normal/179.png Real 21:26:00
./validation_images_normal/180.png Fake 21:26:02
./validation_images_normal/181.png Fake 21:26:07
./validation_images_normal/182.png Real 21:26:10
./validation_images_normal/183.png Fake 21:26:12
./validation_images_normal/184.png Fake 21:26:16
./validation_images_normal/185.png Real 21:26:19
./validation_images_normal/186.png Real 21:26:21
./validation_images_normal/187.png Real 21:26:23
./validation_images_normal/188.png Real 21:26:28
./validation_images_normal/189.png Fake 21:26:30
./validation_images_normal/190.png Real 21:26:35
./validation_images_normal/191.png Fake 21:26:38
./validation_images_normal/192.png Fake 21:26:43
./validation_images_normal/193.png Fake 21:26:46
./validation_images_normal/194.png Fake 21:26:51
./validation_images_normal/195.png Real 21:26:56
./validation_images_normal/196.png Real 21:26:58
./validation_images_normal/197.png Fake 21:27:00
./validation_images_normal/198.png Real 21:27:03
./validation_images_normal/199.png Fake 21:27:05
./validation_images_normal/200.png Real 21:27:10
./validation_images_normal/201.png Real 21:27:16
./validation_images_normal/202.png Real 21:27:19
./validation_images_normal/203.png Fake 21:27:22
./validation_images_normal/204.png Fake 21:27:25
./validation_images_normal/205.png Real 21:27:28
./validation_images_normal/206.png Fake 21:27:30
./validation_images_normal/207.png Real 21:27:35
./validation_images_normal/208.png Fake 21:27:38
./validation_images_normal/209.png Fake 21:27:43
./validation_images_normal/210.png Real 21:27:47
./validation_images_normal/211.png Real 21:27:50
./validation_images_normal/212.png Fake 21:27:55
./validation_images_normal/213.png Real 21:27:58
./validation_images_normal/214.png Fake 21:27:59
./validation_images_normal/215.png Real 21:28:10
./validation_images_normal/216.png Fake 21:28:13

./validation_images_normal/218.png Fake 21:28:25
./validation_images_normal/219.png Fake 21:28:28
./validation_images_normal/220.png Fake 21:28:38
./validation_images_normal/221.png Fake 21:28:52
./validation_images_normal/222.png Fake 21:28:58
./validation_images_normal/223.png Fake 21:29:10
./validation_images_normal/224.png Fake 21:29:16
./validation_images_normal/225.png Fake 21:29:22
./validation_images_normal/226.png Fake 21:29:38
./validation_images_normal/227.png Real 21:29:42
./validation_images_normal/228.png Real 21:29:46
./validation_images_normal/229.png Real 21:29:49
./validation_images_normal/230.png Real 21:30:00
./validation_images_normal/231.png Real 21:30:03
./validation_images_normal/232.png Real 21:30:13
./validation_images_normal/233.png Fake 21:30:22
./validation_images_normal/234.png Real 21:30:28
./validation_images_normal/235.png Real 21:30:31
./validation_images_normal/236.png Fake 21:30:33
./validation_images_normal/237.png Fake 21:30:36
./validation_images_normal/238.png Real 21:30:40
./validation_images_normal/239.png Real 21:30:43
./validation_images_normal/240.png Fake 21:30:49
./validation_images_normal/241.png Real 21:30:55
./validation_images_normal/242.png Real 21:30:59
./validation_images_normal/243.png Fake 21:31:02
./validation_images_normal/244.png Fake 21:31:05
./validation_images_normal/245.png Fake 21:31:13
./validation_images_normal/246.png Real 21:31:16
./validation_images_normal/247.png Fake 21:31:18
./validation_images_normal/248.png Real 21:31:21
./validation_images_normal/249.png Fake 21:31:23
./validation_images_normal/250.png Fake 21:31:26
./validation_images_normal/251.png Fake 21:31:42
./validation_images_normal/252.png Fake 21:31:51
./validation_images_normal/253.png Real 21:31:56
./validation_images_normal/254.png Fake 21:31:59
./validation_images_normal/255.png Fake 21:32:11
./validation_images_normal/256.png Fake 21:32:19
./validation_images_normal/257.png Fake 21:32:23
./validation_images_normal/258.png Fake 21:32:27
./validation_images_normal/259.png Fake 21:32:30
./validation_images_normal/260.png Real 21:32:39
./validation_images_normal/261.png Fake 21:32:41
./validation_images_normal/262.png Real 21:32:53
./validation_images_normal/263.png Real 21:33:02
./validation_images_normal/264.png Fake 21:33:05
./validation_images_normal/265.png Real 21:33:08
./validation_images_normal/266.png Fake 21:33:10
./validation_images_normal/267.png Fake 21:33:19
./validation_images_normal/268.png Real 21:33:23
./validation_images_normal/269.png Fake 21:33:25
./validation_images_normal/270.png Real 21:33:32
./validation_images_normal/271.png Real 21:33:35
./validation_images_normal/272.png Real 21:33:37
./validation_images_normal/273.png Real 21:33:39
./validation_images_normal/274.png Real 21:33:41
./validation_images_normal/275.png Real 21:33:44
./validation_images_normal/276.png Fake 21:33:46
./validation_images_normal/277.png Fake 21:33:51
./validation_images_normal/278.png Fake 21:33:56
./validation_images_normal/279.png Real 21:34:00
./validation_images_normal/280.png Fake 21:34:03
./validation_images_normal/281.png Fake 21:34:06
./validation_images_normal/282.png Real 21:34:13
./validation_images_normal/283.png Fake 21:34:15
./validation_images_normal/284.png Real 21:34:24
./validation_images_normal/285.png Real 21:34:26
./validation_images_normal/286.png Real 21:34:28
./validation_images_normal/287.png Fake 21:34:39
./validation_images_normal/288.png Real 21:34:43
./validation_images_normal/289.png Fake 21:34:46
./validation_images_normal/290.png Real 21:34:51
./validation_images_normal/291.png Real 21:34:54
./validation_images_normal/292.png Fake 21:34:56
./validation_images_normal/293.png Fake 21:35:01
./validation_images_normal/294.png Fake 21:35:04
./validation_images_normal/295.png Real 21:35:07
./validation_images_normal/296.png Real 21:35:10
./validation_images_normal/297.png Fake 21:35:12
./validation_images_normal/298.png Fake 21:35:15
./validation_images_normal/299.png Real 21:35:18
21:35:20
