fatei01 20190920 21:04:10
./validation_images_normal/98.png Real 21:10:27
./validation_images_normal/99.png Fake 21:10:29
./validation_images_normal/100.png Fake 21:10:33
./validation_images_normal/101.png Fake 21:10:35
./validation_images_normal/102.png Fake 21:10:46
./validation_images_normal/103.png Fake 21:10:50
./validation_images_normal/104.png Real 21:10:54
./validation_images_normal/105.png Real 21:10:57
./validation_images_normal/106.png Fake 21:11:01
./validation_images_normal/107.png Real 21:11:05
./validation_images_normal/108.png Fake 21:11:10
./validation_images_normal/109.png Real 21:11:15
./validation_images_normal/110.png Real 21:11:18
./validation_images_normal/111.png Real 21:11:20
./validation_images_normal/112.png Real 21:11:23
./validation_images_normal/113.png Fake 21:11:25
./validation_images_normal/114.png Fake 21:11:28
./validation_images_normal/115.png Fake 21:11:30
./validation_images_normal/116.png Fake 21:11:33
./validation_images_normal/117.png Real 21:11:36
./validation_images_normal/118.png Real 21:11:39
./validation_images_normal/119.png Real 21:11:41
./validation_images_normal/120.png Real 21:11:45
./validation_images_normal/121.png Real 21:11:47
./validation_images_normal/122.png Real 21:11:49
./validation_images_normal/123.png Real 21:11:52
./validation_images_normal/124.png Real 21:11:54
./validation_images_normal/125.png Real 21:11:56
./validation_images_normal/126.png Fake 21:11:59
./validation_images_normal/127.png Fake 21:12:02
./validation_images_normal/128.png Real 21:12:06
./validation_images_normal/129.png Fake 21:12:09
./validation_images_normal/130.png Fake 21:12:14
./validation_images_normal/131.png Real 21:12:17
./validation_images_normal/132.png Fake 21:12:24
./validation_images_normal/133.png Fake 21:12:28
./validation_images_normal/134.png Fake 21:12:32
./validation_images_normal/135.png Fake 21:12:36
./validation_images_normal/136.png Real 21:12:40
./validation_images_normal/137.png Fake 21:12:45
./validation_images_normal/138.png Real 21:12:50
./validation_images_normal/139.png Real 21:12:53
./validation_images_normal/140.png Fake 21:12:57
./validation_images_normal/141.png Fake 21:13:00
./validation_images_normal/142.png Fake 21:13:04
./validation_images_normal/143.png Real 21:13:15
./validation_images_normal/144.png Real 21:13:20
./validation_images_normal/145.png Real 21:13:24
./validation_images_normal/146.png Real 21:13:29
./validation_images_normal/147.png Real 21:13:35
./validation_images_normal/148.png Real 21:13:39
./validation_images_normal/149.png Real 21:13:44
./validation_images_normal/150.png Real 21:13:47
./validation_images_normal/151.png Real 21:13:50
./validation_images_normal/152.png Fake 21:13:55
./validation_images_normal/153.png Fake 21:15:12
./validation_images_normal/154.png Fake 21:15:16
./validation_images_normal/155.png Fake 21:15:20
./validation_images_normal/156.png Real 21:15:23
./validation_images_normal/157.png Fake 21:15:27
./validation_images_normal/158.png Real 21:15:32
./validation_images_normal/159.png Fake 21:15:37
./validation_images_normal/160.png Fake 21:15:46
./validation_images_normal/161.png Fake 21:15:52
./validation_images_normal/162.png Real 21:16:03
./validation_images_normal/163.png Real 21:16:11
./validation_images_normal/164.png Fake 21:16:22
./validation_images_normal/165.png Real 21:16:26
./validation_images_normal/166.png Fake 21:16:30
./validation_images_normal/167.png Real 21:16:34
./validation_images_normal/168.png Real 21:16:37
./validation_images_normal/169.png Fake 21:16:40
./validation_images_normal/170.png Real 21:16:45
./validation_images_normal/171.png Real 21:16:48
./validation_images_normal/172.png Fake 21:16:51
./validation_images_normal/173.png Fake 21:16:54
./validation_images_normal/174.png Real 21:16:57
./validation_images_normal/175.png Real 21:17:00
./validation_images_normal/176.png Fake 21:17:02
./validation_images_normal/177.png Real 21:17:06
./validation_images_normal/178.png Real 21:17:08
./validation_images_normal/179.png Fake 21:17:23
./validation_images_normal/180.png Fake 21:17:27
./validation_images_normal/181.png Fake 21:17:35
./validation_images_normal/182.png Real 21:17:40
./validation_images_normal/183.png Fake 21:17:45
./validation_images_normal/184.png Real 21:17:50
./validation_images_normal/185.png Real 21:17:53
./validation_images_normal/186.png Fake 21:17:57
./validation_images_normal/187.png Real 21:18:00
./validation_images_normal/188.png Real 21:18:04
./validation_images_normal/189.png Real 21:18:07
./validation_images_normal/190.png Real 21:18:10
./validation_images_normal/191.png Real 21:18:16
./validation_images_normal/192.png Real 21:18:20
./validation_images_normal/193.png Real 21:18:24
./validation_images_normal/194.png Real 21:18:28
./validation_images_normal/195.png Real 21:18:31
./validation_images_normal/196.png Fake 21:18:34
./validation_images_normal/197.png Real 21:18:39
./validation_images_normal/198.png Fake 21:18:43
./validation_images_normal/199.png Real 21:18:46
./validation_images_normal/200.png Real 21:18:51
./validation_images_normal/201.png Fake 21:18:54
./validation_images_normal/202.png Real 21:18:56
./validation_images_normal/203.png Real 21:19:00
./validation_images_normal/204.png Real 21:19:03
./validation_images_normal/205.png Fake 21:19:11
./validation_images_normal/206.png Fake 21:19:15
./validation_images_normal/207.png Real 21:19:20
./validation_images_normal/208.png Real 21:19:23
./validation_images_normal/209.png Real 21:19:28
./validation_images_normal/210.png Fake 21:20:03
./validation_images_normal/211.png Fake 21:20:07
./validation_images_normal/212.png Fake 21:20:10
./validation_images_normal/213.png Fake 21:20:13
./validation_images_normal/214.png Fake 21:20:16
./validation_images_normal/215.png Fake 21:20:20
./validation_images_normal/216.png Fake 21:20:23
./validation_images_normal/217.png Fake 21:20:26
./validation_images_normal/218.png Fake 21:20:30
./validation_images_normal/219.png Real 21:20:34
./validation_images_normal/220.png Fake 21:20:38
./validation_images_normal/221.png Fake 21:20:43
./validation_images_normal/222.png Fake 21:20:46
./validation_images_normal/223.png Fake 21:20:49
./validation_images_normal/224.png Fake 21:20:52
./validation_images_normal/225.png Fake 21:20:55
./validation_images_normal/226.png Fake 21:20:57
./validation_images_normal/227.png Fake 21:21:05
./validation_images_normal/228.png Real 21:21:11
./validation_images_normal/229.png Fake 21:21:17
./validation_images_normal/230.png Fake 21:21:21
./validation_images_normal/231.png Fake 21:21:25
./validation_images_normal/232.png Real 21:21:29
./validation_images_normal/233.png Fake 21:21:33
./validation_images_normal/234.png Fake 21:21:36
./validation_images_normal/235.png Real 21:21:42
./validation_images_normal/236.png Real 21:21:47
./validation_images_normal/237.png Real 21:21:50
./validation_images_normal/238.png Real 21:21:53
./validation_images_normal/239.png Real 21:21:56
./validation_images_normal/240.png Fake 21:21:59
./validation_images_normal/241.png Real 21:22:02
./validation_images_normal/242.png Real 21:22:06
./validation_images_normal/243.png Fake 21:22:09
./validation_images_normal/244.png Real 21:22:12
./validation_images_normal/245.png Real 21:22:16
./validation_images_normal/246.png Fake 21:22:33
./validation_images_normal/247.png Fake 21:22:36
./validation_images_normal/248.png Fake 21:22:39
./validation_images_normal/249.png Fake 21:22:43
./validation_images_normal/250.png Fake 21:22:46
./validation_images_normal/251.png Fake 21:22:49
./validation_images_normal/252.png Fake 21:22:51
./validation_images_normal/253.png Real 21:22:54
./validation_images_normal/254.png Real 21:22:58
./validation_images_normal/255.png Fake 21:23:03
./validation_images_normal/256.png Real 21:23:06
./validation_images_normal/257.png Real 21:23:10
./validation_images_normal/258.png Real 21:23:12
./validation_images_normal/259.png Real 21:23:15
./validation_images_normal/260.png Fake 21:23:18
./validation_images_normal/261.png Real 21:23:25
./validation_images_normal/262.png Fake 21:23:29
./validation_images_normal/263.png Real 21:23:46
./validation_images_normal/264.png Fake 21:23:52
./validation_images_normal/265.png Fake 21:23:55
./validation_images_normal/266.png Real 21:23:58
./validation_images_normal/267.png Fake 21:24:02
./validation_images_normal/268.png Real 21:24:10
./validation_images_normal/269.png Real 21:24:18
./validation_images_normal/270.png Fake 21:24:22
./validation_images_normal/271.png Real 21:24:26
./validation_images_normal/272.png Fake 21:24:32
./validation_images_normal/273.png Fake 21:24:35
./validation_images_normal/274.png Fake 21:24:42
./validation_images_normal/275.png Fake 21:24:45
./validation_images_normal/276.png Real 21:24:48
./validation_images_normal/277.png Real 21:24:52
./validation_images_normal/278.png Real 21:24:55
./validation_images_normal/279.png Real 21:24:58
./validation_images_normal/280.png Real 21:25:01
./validation_images_normal/281.png Fake 21:25:29
./validation_images_normal/282.png Real 21:25:32
./validation_images_normal/283.png Real 21:25:35
./validation_images_normal/284.png Fake 21:25:43
./validation_images_normal/285.png Fake 21:25:47
./validation_images_normal/286.png Fake 21:25:56
./validation_images_normal/287.png Fake 21:26:00
./validation_images_normal/288.png Real 21:26:03
./validation_images_normal/289.png Fake 21:26:07
./validation_images_normal/290.png Fake 21:26:10
./validation_images_normal/291.png Fake 21:26:12
./validation_images_normal/292.png Real 21:26:15
./validation_images_normal/293.png Fake 21:26:19
./validation_images_normal/294.png Real 21:26:22
./validation_images_normal/295.png Real 21:26:25
./validation_images_normal/296.png Fake 21:26:30
./validation_images_normal/297.png Fake 21:26:35
./validation_images_normal/298.png Real 21:26:38
./validation_images_normal/299.png Fake 21:26:42
21:27:12
