aaa11 20190916 18:56:48
./validation_images_normal/70.png Real 19:02:47
./validation_images_normal/71.png Fake 19:02:51
./validation_images_normal/72.png Real 19:02:56
./validation_images_normal/73.png Fake 19:02:59
./validation_images_normal/74.png Real 19:03:03
./validation_images_normal/75.png Real 19:03:06
./validation_images_normal/76.png Real 19:03:12
./validation_images_normal/77.png Fake 19:03:15
./validation_images_normal/78.png Fake 19:03:19
./validation_images_normal/79.png Real 19:03:22
./validation_images_normal/80.png Fake 19:03:29
./validation_images_normal/81.png Fake 19:03:35
./validation_images_normal/82.png Fake 19:03:39
./validation_images_normal/83.png Fake 19:03:44
./validation_images_normal/84.png Real 19:03:47
./validation_images_normal/85.png Fake 19:03:51
./validation_images_normal/86.png Fake 19:03:54
./validation_images_normal/87.png Fake 19:03:59
./validation_images_normal/88.png Real 19:04:03
./validation_images_normal/89.png Real 19:04:06
./validation_images_normal/90.png Real 19:04:11
./validation_images_normal/91.png Fake 19:04:14
./validation_images_normal/92.png Fake 19:04:18
./validation_images_normal/93.png Real 19:04:22
./validation_images_normal/94.png Real 19:04:28
./validation_images_normal/95.png Fake 19:04:32
./validation_images_normal/96.png Real 19:04:35
./validation_images_normal/97.png Real 19:04:38
./validation_images_normal/98.png Real 19:04:41
./validation_images_normal/99.png Fake 19:04:45
./validation_images_normal/100.png Fake 19:04:52
./validation_images_normal/101.png Fake 19:05:00
./validation_images_normal/102.png Real 19:05:04
./validation_images_normal/103.png Real 19:05:07
./validation_images_normal/104.png Real 19:05:11
./validation_images_normal/105.png Real 19:05:13
./validation_images_normal/106.png Fake 19:05:16
./validation_images_normal/107.png Fake 19:05:20
./validation_images_normal/108.png Fake 19:05:24
./validation_images_normal/109.png Real 19:05:27
./validation_images_normal/110.png Real 19:05:30
./validation_images_normal/111.png Fake 19:05:34
./validation_images_normal/112.png Fake 19:05:46
./validation_images_normal/113.png Fake 19:05:51
./validation_images_normal/114.png Real 19:06:05
./validation_images_normal/115.png Real 19:06:09
./validation_images_normal/116.png Real 19:06:13
./validation_images_normal/117.png Real 19:06:16
./validation_images_normal/118.png Real 19:06:20
./validation_images_normal/119.png Real 19:06:23
./validation_images_normal/120.png Real 19:06:25
./validation_images_normal/121.png Real 19:06:30
./validation_images_normal/122.png Fake 19:06:33
./validation_images_normal/123.png Real 19:06:37
./validation_images_normal/124.png Fake 19:06:40
./validation_images_normal/125.png Real 19:06:45
./validation_images_normal/126.png Fake 19:06:48
./validation_images_normal/127.png Real 19:06:52
./validation_images_normal/128.png Real 19:06:58
./validation_images_normal/129.png Fake 19:07:01
./validation_images_normal/130.png Real 19:07:06
./validation_images_normal/131.png Real 19:07:09
./validation_images_normal/132.png Fake 19:07:14
./validation_images_normal/133.png Fake 19:07:22
./validation_images_normal/134.png Real 19:07:25
./validation_images_normal/135.png Real 19:07:34
./validation_images_normal/136.png Real 19:07:40
./validation_images_normal/137.png Fake 19:07:43
./validation_images_normal/138.png Real 19:07:47
./validation_images_normal/139.png Real 19:07:51
./validation_images_normal/140.png Fake 19:07:54
./validation_images_normal/141.png Fake 19:07:57
./validation_images_normal/142.png Fake 19:08:00
./validation_images_normal/143.png Real 19:08:02
./validation_images_normal/144.png Real 19:08:05
./validation_images_normal/145.png Real 19:08:08
./validation_images_normal/146.png Fake 19:08:11
./validation_images_normal/147.png Real 19:08:16
./validation_images_normal/148.png Real 19:08:19
./validation_images_normal/149.png Real 19:08:22
./validation_images_normal/150.png Real 19:08:25
./validation_images_normal/151.png Real 19:08:27
./validation_images_normal/152.png Real 19:08:29
./validation_images_normal/153.png Real 19:08:32
./validation_images_normal/154.png Fake 19:08:36
./validation_images_normal/155.png Real 19:08:39
./validation_images_normal/156.png Real 19:08:42
./validation_images_normal/157.png Fake 19:08:46
./validation_images_normal/158.png Real 19:08:50
./validation_images_normal/159.png Real 19:08:54
./validation_images_normal/160.png Real 19:08:56
./validation_images_normal/161.png Real 19:08:59
./validation_images_normal/162.png Fake 19:09:01
./validation_images_normal/163.png Real 19:09:04
./validation_images_normal/164.png Real 19:09:07
./validation_images_normal/165.png Real 19:09:15
./validation_images_normal/166.png Fake 19:09:19
./validation_images_normal/167.png Real 19:09:22
./validation_images_normal/168.png Real 19:09:26
./validation_images_normal/169.png Fake 19:09:28
./validation_images_normal/170.png Real 19:09:34
./validation_images_normal/171.png Real 19:09:38
./validation_images_normal/172.png Real 19:09:41
./validation_images_normal/173.png Fake 19:09:44
./validation_images_normal/174.png Real 19:09:47
./validation_images_normal/175.png Real 19:09:50
./validation_images_normal/176.png Fake 19:09:53
./validation_images_normal/177.png Fake 19:09:56
./validation_images_normal/178.png Real 19:10:00
./validation_images_normal/179.png Real 19:10:03
./validation_images_normal/180.png Real 19:10:07
./validation_images_normal/181.png Fake 19:10:09
./validation_images_normal/182.png Fake 19:10:12
./validation_images_normal/183.png Fake 19:10:17
./validation_images_normal/184.png Real 19:10:21
./validation_images_normal/185.png Real 19:10:25
./validation_images_normal/186.png Real 19:10:28
./validation_images_normal/187.png Fake 19:10:31
./validation_images_normal/188.png Real 19:10:43
./validation_images_normal/189.png Fake 19:10:47
./validation_images_normal/190.png Real 19:10:51
./validation_images_normal/191.png Real 19:10:54
./validation_images_normal/192.png Real 19:10:56
./validation_images_normal/193.png Real 19:10:59
./validation_images_normal/194.png Real 19:11:02
./validation_images_normal/195.png Real 19:11:04
./validation_images_normal/196.png Fake 19:11:09
./validation_images_normal/197.png Real 19:11:11
./validation_images_normal/198.png Fake 19:11:14
./validation_images_normal/199.png Real 19:11:17
./validation_images_normal/200.png Real 19:11:20
./validation_images_normal/201.png Real 19:11:22
./validation_images_normal/202.png Real 19:11:25
./validation_images_normal/203.png Real 19:11:27
./validation_images_normal/204.png Fake 19:11:30
./validation_images_normal/205.png Real 19:11:34
./validation_images_normal/206.png Real 19:11:37
./validation_images_normal/207.png Real 19:11:42
./validation_images_normal/208.png Real 19:11:44
./validation_images_normal/209.png Real 19:11:49
./validation_images_normal/210.png Real 19:11:54
./validation_images_normal/211.png Real 19:11:58
./validation_images_normal/212.png Real 19:12:01
./validation_images_normal/213.png Fake 19:12:05
./validation_images_normal/214.png Real 19:12:08
./validation_images_normal/215.png Real 19:12:14
./validation_images_normal/216.png Fake 19:12:15
./validation_images_normal/217.png Real 19:12:23
./validation_images_normal/218.png Fake 19:12:29
./validation_images_normal/219.png Real 19:12:35
./validation_images_normal/220.png Real 19:12:40
./validation_images_normal/221.png Fake 19:12:43
./validation_images_normal/222.png Fake 19:12:46
./validation_images_normal/223.png Fake 19:12:49
./validation_images_normal/224.png Fake 19:12:52
./validation_images_normal/225.png Real 19:12:55
./validation_images_normal/226.png Real 19:12:58
./validation_images_normal/227.png Real 19:13:00
./validation_images_normal/228.png Real 19:13:04
./validation_images_normal/229.png Fake 19:13:06
./validation_images_normal/230.png Real 19:13:10
./validation_images_normal/231.png Real 19:13:12
./validation_images_normal/232.png Real 19:13:15
./validation_images_normal/233.png Fake 19:13:18
./validation_images_normal/234.png Real 19:13:21
./validation_images_normal/235.png Fake 19:13:26
./validation_images_normal/236.png Real 19:13:29
./validation_images_normal/237.png Fake 19:13:32
./validation_images_normal/238.png Fake 19:13:37
./validation_images_normal/239.png Fake 19:13:40
./validation_images_normal/240.png Fake 19:13:44
./validation_images_normal/241.png Real 19:13:46
./validation_images_normal/242.png Real 19:13:49
./validation_images_normal/243.png Real 19:13:52
./validation_images_normal/244.png Real 19:13:54
./validation_images_normal/245.png Real 19:13:57
./validation_images_normal/246.png Real 19:14:00
./validation_images_normal/247.png Real 19:14:04
./validation_images_normal/248.png Fake 19:14:06
./validation_images_normal/249.png Fake 19:14:09
./validation_images_normal/250.png Real 19:14:11
./validation_images_normal/251.png Real 19:14:14
./validation_images_normal/252.png Fake 19:14:16
./validation_images_normal/253.png Real 19:14:20
./validation_images_normal/254.png Real 19:14:23
./validation_images_normal/255.png Fake 19:14:26
./validation_images_normal/256.png Real 19:14:28
./validation_images_normal/257.png Real 19:14:31
./validation_images_normal/258.png Fake 19:14:33
./validation_images_normal/259.png Real 19:14:36
./validation_images_normal/260.png Real 19:14:39
./validation_images_normal/261.png Real 19:14:41
./validation_images_normal/262.png Real 19:14:43
./validation_images_normal/263.png Real 19:14:45
./validation_images_normal/264.png Real 19:14:48
./validation_images_normal/265.png Fake 19:14:50
Finish 19:14:53
./validation_images_normal/266.png Fake 19:14:53
./validation_images_normal/267.png Real 19:15:08
./validation_images_normal/268.png Real 19:15:12
./validation_images_normal/269.png Real 19:15:15
./validation_images_normal/270.png Real 19:15:18
./validation_images_normal/271.png Real 19:15:23
./validation_images_normal/272.png Fake 19:15:25
./validation_images_normal/273.png Real 19:15:28
./validation_images_normal/274.png Fake 19:15:31
./validation_images_normal/275.png Real 19:15:34
./validation_images_normal/276.png Real 19:15:37
./validation_images_normal/277.png Real 19:15:39
./validation_images_normal/278.png Real 19:15:41
./validation_images_normal/279.png Real 19:15:46
./validation_images_normal/280.png Real 19:15:48
./validation_images_normal/281.png Real 19:15:52
./validation_images_normal/282.png Real 19:15:54
./validation_images_normal/283.png Real 19:15:58
./validation_images_normal/284.png Real 19:16:00
./validation_images_normal/285.png Real 19:16:02
./validation_images_normal/286.png Real 19:16:04
./validation_images_normal/287.png Fake 19:16:07
./validation_images_normal/288.png Real 19:16:09
./validation_images_normal/289.png Real 19:16:12
./validation_images_normal/290.png Real 19:16:14
./validation_images_normal/291.png Real 19:16:16
./validation_images_normal/292.png Real 19:16:20
./validation_images_normal/293.png Fake 19:16:23
./validation_images_normal/294.png Fake 19:16:26
./validation_images_normal/295.png Real 19:16:29
./validation_images_normal/296.png Fake 19:16:31
./validation_images_normal/297.png Real 19:16:37
./validation_images_normal/298.png Real 19:16:41
./validation_images_normal/299.png Fake 19:16:44
19:16:49
