LGI11 20190919 21:38:50
./validation_images_normal/211.png Real 21:58:05
./validation_images_normal/212.png Fake 21:58:14
./validation_images_normal/213.png Fake 21:58:17
./validation_images_normal/214.png Real 21:58:20
./validation_images_normal/215.png Real 21:58:37
./validation_images_normal/216.png Fake 21:58:45
./validation_images_normal/217.png Fake 21:58:49
./validation_images_normal/218.png Fake 21:58:54
./validation_images_normal/219.png Fake 21:58:58
./validation_images_normal/220.png Fake 21:59:02
./validation_images_normal/221.png Fake 21:59:05
./validation_images_normal/222.png Fake 21:59:08
./validation_images_normal/223.png Fake 21:59:10
./validation_images_normal/224.png Fake 21:59:15
./validation_images_normal/225.png Real 21:59:17
./validation_images_normal/226.png Fake 21:59:21
./validation_images_normal/227.png Fake 21:59:23
./validation_images_normal/228.png Real 21:59:27
./validation_images_normal/229.png Fake 21:59:30
./validation_images_normal/230.png Real 21:59:33
./validation_images_normal/231.png Real 21:59:36
./validation_images_normal/232.png Real 21:59:40
./validation_images_normal/233.png Fake 21:59:46
./validation_images_normal/234.png Fake 21:59:48
./validation_images_normal/235.png Fake 22:00:01
./validation_images_normal/236.png Real 22:00:09
./validation_images_normal/237.png Real 22:00:25
./validation_images_normal/238.png Fake 22:00:30
./validation_images_normal/239.png Fake 22:00:35
./validation_images_normal/240.png Fake 22:00:41
./validation_images_normal/241.png Fake 22:00:46
./validation_images_normal/242.png Real 22:00:50
./validation_images_normal/243.png Fake 22:00:56
./validation_images_normal/244.png Fake 22:00:58
./validation_images_normal/245.png Fake 22:01:02
./validation_images_normal/246.png Fake 22:01:06
./validation_images_normal/247.png Real 22:01:10
./validation_images_normal/248.png Fake 22:01:14
./validation_images_normal/249.png Fake 22:01:17
./validation_images_normal/250.png Fake 22:01:20
./validation_images_normal/251.png Real 22:01:53
./validation_images_normal/252.png Fake 22:01:57
./validation_images_normal/253.png Real 22:02:00
./validation_images_normal/254.png Real 22:02:06
./validation_images_normal/255.png Fake 22:02:10
./validation_images_normal/256.png Fake 22:02:13
./validation_images_normal/257.png Real 22:02:18
./validation_images_normal/258.png Fake 22:02:22
./validation_images_normal/259.png Real 22:02:26
./validation_images_normal/260.png Fake 22:02:30
./validation_images_normal/261.png Real 22:02:33
./validation_images_normal/262.png Fake 22:02:35
./validation_images_normal/263.png Real 22:02:43
./validation_images_normal/264.png Fake 22:02:48
./validation_images_normal/265.png Fake 22:02:51
./validation_images_normal/266.png Fake 22:02:53
./validation_images_normal/267.png Fake 22:02:57
./validation_images_normal/268.png Fake 22:03:23
./validation_images_normal/269.png Real 22:03:27
./validation_images_normal/270.png Fake 22:03:45
./validation_images_normal/271.png Fake 22:03:49
./validation_images_normal/272.png Fake 22:03:58
./validation_images_normal/273.png Real 22:04:02
./validation_images_normal/274.png Fake 22:04:11
./validation_images_normal/275.png Fake 22:04:15
./validation_images_normal/276.png Real 22:04:33
./validation_images_normal/277.png Real 22:04:43
./validation_images_normal/278.png Fake 22:04:47
./validation_images_normal/279.png Real 22:04:52
./validation_images_normal/280.png Fake 22:05:26
./validation_images_normal/281.png Fake 22:05:54
./validation_images_normal/282.png Real 22:05:57
./validation_images_normal/283.png Real 22:06:04
./validation_images_normal/284.png Real 22:06:07
./validation_images_normal/285.png Real 22:06:13
./validation_images_normal/286.png Real 22:06:19
./validation_images_normal/287.png Fake 22:06:22
./validation_images_normal/288.png Real 22:06:26
./validation_images_normal/289.png Real 22:06:28
./validation_images_normal/290.png Real 22:06:34
./validation_images_normal/291.png Fake 22:06:37
./validation_images_normal/292.png Real 22:06:39
./validation_images_normal/293.png Fake 22:06:43
./validation_images_normal/294.png Fake 22:06:46
./validation_images_normal/295.png Real 22:06:49
./validation_images_normal/296.png Fake 22:06:52
./validation_images_normal/297.png Fake 22:06:54
./validation_images_normal/298.png Real 22:06:57
./validation_images_normal/299.png Fake 22:07:00
22:07:02
