asdf11 20190924 18:15:22
./validation_images_normal/151.png Real 18:25:26
./validation_images_normal/152.png Fake 18:25:30
./validation_images_normal/153.png Fake 18:25:33
./validation_images_normal/154.png Fake 18:25:41
./validation_images_normal/155.png Real 18:25:47
./validation_images_normal/156.png Fake 18:25:55
./validation_images_normal/157.png Fake 18:26:01
./validation_images_normal/158.png Real 18:26:04
./validation_images_normal/159.png Real 18:26:07
./validation_images_normal/160.png Real 18:26:09
./validation_images_normal/161.png Real 18:26:12
./validation_images_normal/162.png Fake 18:26:14
./validation_images_normal/163.png Real 18:26:17
./validation_images_normal/164.png Real 18:26:20
./validation_images_normal/165.png Real 18:26:22
./validation_images_normal/166.png Real 18:26:25
./validation_images_normal/167.png Real 18:26:27
./validation_images_normal/168.png Fake 18:26:30
./validation_images_normal/169.png Real 18:26:32
./validation_images_normal/170.png Real 18:26:35
./validation_images_normal/171.png Real 18:26:37
./validation_images_normal/172.png Fake 18:26:40
./validation_images_normal/173.png Real 18:26:42
./validation_images_normal/174.png Real 18:26:45
./validation_images_normal/175.png Real 18:26:48
./validation_images_normal/176.png Fake 18:26:50
./validation_images_normal/177.png Fake 18:26:52
./validation_images_normal/178.png Fake 18:26:55
./validation_images_normal/179.png Fake 18:26:58
./validation_images_normal/180.png Real 18:27:00
./validation_images_normal/181.png Fake 18:27:03
./validation_images_normal/182.png Real 18:27:05
./validation_images_normal/183.png Fake 18:27:08
./validation_images_normal/184.png Real 18:27:10
./validation_images_normal/185.png Fake 18:27:12
./validation_images_normal/186.png Real 18:27:15
./validation_images_normal/187.png Fake 18:27:17
./validation_images_normal/188.png Real 18:27:19
./validation_images_normal/189.png Fake 18:27:21
./validation_images_normal/190.png Real 18:27:25
./validation_images_normal/191.png Real 18:27:29
./validation_images_normal/192.png Real 18:27:31
./validation_images_normal/193.png Real 18:27:33
./validation_images_normal/194.png Real 18:27:36
./validation_images_normal/195.png Real 18:27:40
./validation_images_normal/196.png Real 18:27:43
./validation_images_normal/197.png Real 18:27:45
./validation_images_normal/198.png Fake 18:27:48
./validation_images_normal/199.png Real 18:27:50
./validation_images_normal/200.png Real 18:27:53
./validation_images_normal/201.png Fake 18:27:55
./validation_images_normal/202.png Real 18:27:58
./validation_images_normal/203.png Fake 18:28:01
./validation_images_normal/204.png Fake 18:28:03
./validation_images_normal/205.png Real 18:28:06
./validation_images_normal/206.png Real 18:28:09
./validation_images_normal/207.png Real 18:28:12
./validation_images_normal/208.png Real 18:28:15
./validation_images_normal/209.png Real 18:28:17
./validation_images_normal/210.png Real 18:28:20
./validation_images_normal/211.png Real 18:28:24
./validation_images_normal/212.png Fake 18:28:26
./validation_images_normal/213.png Fake 18:28:30
./validation_images_normal/214.png Real 18:28:33
./validation_images_normal/215.png Real 18:28:35
./validation_images_normal/216.png Fake 18:28:37
./validation_images_normal/217.png Fake 18:28:40
./validation_images_normal/218.png Real 18:28:44
./validation_images_normal/219.png Fake 18:28:48
./validation_images_normal/220.png Fake 18:28:54
./validation_images_normal/221.png Real 18:28:57
./validation_images_normal/222.png Fake 18:28:59
./validation_images_normal/223.png Fake 18:29:02
./validation_images_normal/224.png Fake 18:29:05
./validation_images_normal/225.png Real 18:29:09
./validation_images_normal/226.png Real 18:29:11
./validation_images_normal/227.png Real 18:29:14
./validation_images_normal/228.png Real 18:29:16
./validation_images_normal/229.png Fake 18:29:19
./validation_images_normal/230.png Real 18:29:22
./validation_images_normal/231.png Real 18:29:24
./validation_images_normal/232.png Real 18:29:27
./validation_images_normal/233.png Fake 18:29:30
./validation_images_normal/234.png Real 18:29:33
./validation_images_normal/235.png Fake 18:29:36
./validation_images_normal/236.png Real 18:29:38
./validation_images_normal/237.png Fake 18:29:41
./validation_images_normal/238.png Fake 18:29:45
./validation_images_normal/239.png Fake 18:29:48
./validation_images_normal/240.png Fake 18:29:52
./validation_images_normal/241.png Fake 18:29:55
./validation_images_normal/242.png Real 18:30:00
./validation_images_normal/243.png Real 18:30:02
./validation_images_normal/244.png Fake 18:30:05
./validation_images_normal/245.png Fake 18:30:09
./validation_images_normal/246.png Real 18:30:12
./validation_images_normal/247.png Real 18:30:14
./validation_images_normal/248.png Fake 18:30:17
./validation_images_normal/249.png Real 18:30:19
./validation_images_normal/250.png Fake 18:30:22
./validation_images_normal/251.png Real 18:30:25
./validation_images_normal/252.png Real 18:30:27
./validation_images_normal/253.png Real 18:30:30
./validation_images_normal/254.png Real 18:30:33
./validation_images_normal/255.png Fake 18:30:35
./validation_images_normal/256.png Real 18:30:37
./validation_images_normal/257.png Real 18:30:40
./validation_images_normal/258.png Fake 18:30:46
./validation_images_normal/259.png Real 18:30:49
./validation_images_normal/260.png Real 18:30:52
./validation_images_normal/261.png Real 18:30:54
./validation_images_normal/262.png Real 18:30:57
./validation_images_normal/263.png Real 18:31:00
./validation_images_normal/264.png Fake 18:31:03
./validation_images_normal/265.png Fake 18:31:05
./validation_images_normal/266.png Fake 18:31:08
./validation_images_normal/267.png Fake 18:31:10
./validation_images_normal/268.png Real 18:31:14
./validation_images_normal/269.png Real 18:31:16
./validation_images_normal/270.png Fake 18:31:19
./validation_images_normal/271.png Real 18:31:21
./validation_images_normal/272.png Fake 18:31:24
./validation_images_normal/273.png Real 18:31:26
./validation_images_normal/274.png Fake 18:31:28
./validation_images_normal/275.png Real 18:31:30
./validation_images_normal/276.png Real 18:31:33
./validation_images_normal/277.png Real 18:31:35
./validation_images_normal/278.png Real 18:31:37
./validation_images_normal/279.png Real 18:31:39
./validation_images_normal/280.png Fake 18:31:41
./validation_images_normal/281.png Real 18:31:44
./validation_images_normal/282.png Real 18:31:50
./validation_images_normal/283.png Real 18:31:52
./validation_images_normal/284.png Real 18:31:54
./validation_images_normal/285.png Real 18:31:56
./validation_images_normal/286.png Real 18:31:58
./validation_images_normal/287.png Fake 18:32:00
./validation_images_normal/288.png Real 18:32:03
./validation_images_normal/289.png Real 18:32:05
./validation_images_normal/290.png Real 18:32:08
./validation_images_normal/291.png Fake 18:32:11
./validation_images_normal/292.png Fake 18:32:14
./validation_images_normal/293.png Real 18:32:16
./validation_images_normal/294.png Fake 18:32:19
./validation_images_normal/295.png Real 18:32:22
./validation_images_normal/296.png Fake 18:32:24
./validation_images_normal/297.png Fake 18:32:26
./validation_images_normal/298.png Fake 18:32:29
./validation_images_normal/299.png Fake 18:32:32
18:32:35
