herossell311 20190917 09:25:46
./validation_images_normal/61.png Real 10:30:51
./validation_images_normal/62.png Fake 10:30:54
./validation_images_normal/63.png Fake 10:30:58
./validation_images_normal/64.png Real 10:31:02
./validation_images_normal/65.png Real 10:31:56
./validation_images_normal/66.png Fake 10:31:59
./validation_images_normal/67.png Fake 10:32:03
./validation_images_normal/68.png Fake 10:32:06
./validation_images_normal/69.png Fake 10:32:09
./validation_images_normal/70.png Fake 10:32:12
./validation_images_normal/71.png Fake 10:32:15
./validation_images_normal/72.png Real 10:32:18
./validation_images_normal/73.png Fake 10:32:21
./validation_images_normal/74.png Real 10:32:24
./validation_images_normal/75.png Fake 10:32:39
./validation_images_normal/76.png Fake 10:32:44
./validation_images_normal/77.png Fake 10:32:47
./validation_images_normal/78.png Fake 10:32:49
./validation_images_normal/79.png Fake 10:32:55
./validation_images_normal/80.png Real 10:32:59
./validation_images_normal/81.png Fake 10:33:03
./validation_images_normal/82.png Fake 10:33:06
./validation_images_normal/83.png Fake 10:33:09
./validation_images_normal/84.png Real 10:33:12
./validation_images_normal/85.png Fake 10:33:16
./validation_images_normal/86.png Fake 10:33:19
./validation_images_normal/87.png Fake 10:33:22
./validation_images_normal/88.png Real 10:33:25
./validation_images_normal/89.png Real 10:33:29
./validation_images_normal/90.png Real 10:33:36
./validation_images_normal/91.png Fake 10:33:39
./validation_images_normal/92.png Fake 10:33:42
./validation_images_normal/93.png Real 10:33:46
./validation_images_normal/94.png Real 10:33:49
./validation_images_normal/95.png Real 10:33:52
./validation_images_normal/96.png Real 10:33:55
./validation_images_normal/97.png Real 10:33:58
./validation_images_normal/98.png Real 10:34:01
./validation_images_normal/99.png Real 10:34:04
./validation_images_normal/100.png Real 10:34:06
./validation_images_normal/101.png Fake 10:34:10
./validation_images_normal/102.png Real 10:34:13
./validation_images_normal/103.png Fake 10:34:16
./validation_images_normal/104.png Real 10:34:19
./validation_images_normal/105.png Fake 10:34:23
./validation_images_normal/106.png Fake 10:34:26
./validation_images_normal/107.png Fake 10:34:29
./validation_images_normal/108.png Fake 10:34:32
./validation_images_normal/109.png Real 10:34:37
./validation_images_normal/110.png Real 10:34:40
./validation_images_normal/111.png Real 10:34:42
./validation_images_normal/112.png Fake 10:34:44
./validation_images_normal/113.png Fake 10:34:47
./validation_images_normal/114.png Real 10:34:50
./validation_images_normal/115.png Real 10:34:52
./validation_images_normal/116.png Real 10:34:55
./validation_images_normal/117.png Fake 10:34:58
./validation_images_normal/118.png Real 10:35:06
./validation_images_normal/119.png Real 10:35:10
./validation_images_normal/120.png Fake 10:35:13
./validation_images_normal/121.png Real 10:35:16
./validation_images_normal/122.png Real 10:35:18
./validation_images_normal/123.png Real 10:35:22
./validation_images_normal/124.png Fake 10:35:24
./validation_images_normal/125.png Real 10:35:27
./validation_images_normal/126.png Fake 10:35:29
./validation_images_normal/127.png Fake 10:35:31
./validation_images_normal/128.png Real 10:35:34
./validation_images_normal/129.png Fake 10:35:37
./validation_images_normal/130.png Real 10:35:40
./validation_images_normal/131.png Real 10:35:43
./validation_images_normal/132.png Fake 10:35:45
./validation_images_normal/133.png Fake 10:35:48
./validation_images_normal/134.png Real 10:35:51
./validation_images_normal/135.png Real 10:35:54
./validation_images_normal/136.png Real 10:36:00
./validation_images_normal/137.png Fake 10:36:03
./validation_images_normal/138.png Fake 10:36:06
./validation_images_normal/139.png Fake 10:36:09
./validation_images_normal/140.png Fake 10:36:12
./validation_images_normal/141.png Fake 10:36:15
./validation_images_normal/142.png Fake 10:36:18
./validation_images_normal/143.png Real 10:36:20
./validation_images_normal/144.png Real 10:36:26
./validation_images_normal/145.png Real 10:36:30
./validation_images_normal/146.png Fake 10:36:34
./validation_images_normal/147.png Real 10:36:37
./validation_images_normal/148.png Real 10:36:40
./validation_images_normal/149.png Fake 10:36:43
./validation_images_normal/150.png Fake 10:36:46
./validation_images_normal/151.png Fake 10:36:50
./validation_images_normal/152.png Fake 10:36:53
./validation_images_normal/153.png Fake 10:36:55
./validation_images_normal/154.png Fake 10:36:58
./validation_images_normal/155.png Real 10:37:01
./validation_images_normal/156.png Fake 10:37:04
./validation_images_normal/157.png Fake 10:37:06
./validation_images_normal/158.png Real 10:37:09
./validation_images_normal/159.png Real 10:37:12
./validation_images_normal/160.png Real 10:37:14
./validation_images_normal/161.png Real 10:37:16
./validation_images_normal/162.png Fake 10:37:19
./validation_images_normal/163.png Real 10:37:22
./validation_images_normal/164.png Real 10:37:24
./validation_images_normal/165.png Real 10:37:28
./validation_images_normal/166.png Fake 10:37:31
./validation_images_normal/167.png Fake 10:37:34
./validation_images_normal/168.png Fake 10:37:36
./validation_images_normal/169.png Fake 10:37:39
./validation_images_normal/170.png Real 10:37:41
./validation_images_normal/171.png Real 10:37:44
./validation_images_normal/172.png Fake 10:37:46
./validation_images_normal/173.png Fake 10:37:50
./validation_images_normal/174.png Real 10:37:53
./validation_images_normal/175.png Fake 10:37:56
./validation_images_normal/176.png Fake 10:37:59
./validation_images_normal/177.png Fake 10:38:01
./validation_images_normal/178.png Fake 10:38:03
./validation_images_normal/179.png Fake 10:38:06
./validation_images_normal/180.png Real 10:38:12
./validation_images_normal/181.png Fake 10:38:17
./validation_images_normal/182.png Real 10:38:20
./validation_images_normal/183.png Fake 10:38:22
./validation_images_normal/184.png Real 10:38:26
./validation_images_normal/185.png Fake 10:38:29
./validation_images_normal/186.png Fake 10:38:33
./validation_images_normal/187.png Fake 10:38:36
./validation_images_normal/188.png Real 10:38:39
./validation_images_normal/189.png Fake 10:38:42
./validation_images_normal/190.png Real 10:38:48
./validation_images_normal/191.png Real 10:38:50
./validation_images_normal/192.png Real 10:38:52
./validation_images_normal/193.png Real 10:38:55
./validation_images_normal/194.png Real 10:38:57
./validation_images_normal/195.png Real 10:39:00
./validation_images_normal/196.png Fake 10:39:02
./validation_images_normal/197.png Real 10:39:04
./validation_images_normal/198.png Fake 10:39:07
./validation_images_normal/199.png Real 10:39:10
./validation_images_normal/200.png Real 10:39:12
./validation_images_normal/201.png Fake 10:39:14
./validation_images_normal/202.png Real 10:39:17
./validation_images_normal/203.png Fake 10:39:20
./validation_images_normal/204.png Fake 10:39:23
./validation_images_normal/205.png Real 10:39:26
./validation_images_normal/206.png Fake 10:39:29
./validation_images_normal/207.png Real 10:39:32
./validation_images_normal/208.png Fake 10:39:36
./validation_images_normal/209.png Real 10:39:39
./validation_images_normal/210.png Real 10:39:43
./validation_images_normal/211.png Real 10:39:46
./validation_images_normal/212.png Fake 10:39:51
./validation_images_normal/213.png Fake 10:39:54
./validation_images_normal/214.png Real 10:39:57
./validation_images_normal/215.png Fake 10:40:00
./validation_images_normal/216.png Fake 10:40:03
./validation_images_normal/217.png Fake 10:40:06
./validation_images_normal/218.png Real 10:40:10
./validation_images_normal/219.png Fake 10:40:14
./validation_images_normal/220.png Fake 10:40:20
./validation_images_normal/221.png Fake 10:40:23
./validation_images_normal/222.png Fake 10:40:26
./validation_images_normal/223.png Fake 10:40:28
./validation_images_normal/224.png Fake 10:40:31
./validation_images_normal/225.png Real 10:40:36
./validation_images_normal/226.png Fake 10:40:40
./validation_images_normal/227.png Fake 10:40:44
./validation_images_normal/228.png Real 10:40:53
./validation_images_normal/229.png Fake 10:40:56
./validation_images_normal/230.png Real 10:41:05
./validation_images_normal/231.png Real 10:41:09
./validation_images_normal/232.png Real 10:41:11
./validation_images_normal/233.png Fake 10:41:14
./validation_images_normal/234.png Fake 10:41:18
./validation_images_normal/235.png Fake 10:41:21
./validation_images_normal/236.png Real 10:41:23
./validation_images_normal/237.png Real 10:41:26
./validation_images_normal/238.png Fake 10:41:31
./validation_images_normal/239.png Fake 10:41:34
./validation_images_normal/240.png Fake 10:41:38
./validation_images_normal/241.png Fake 10:41:41
./validation_images_normal/242.png Real 10:41:44
./validation_images_normal/243.png Real 10:41:47
./validation_images_normal/244.png Fake 10:41:50
./validation_images_normal/245.png Real 10:41:54
./validation_images_normal/246.png Fake 10:41:58
./validation_images_normal/247.png Real 10:42:01
./validation_images_normal/248.png Fake 10:42:05
./validation_images_normal/249.png Fake 10:42:08
./validation_images_normal/250.png Real 10:42:11
./validation_images_normal/251.png Real 10:42:15
./validation_images_normal/252.png Fake 10:42:18
./validation_images_normal/253.png Real 10:42:22
./validation_images_normal/254.png Real 10:42:28
./validation_images_normal/255.png Fake 10:42:34
./validation_images_normal/256.png Fake 10:42:38
./validation_images_normal/257.png Real 10:42:41
./validation_images_normal/258.png Fake 10:42:45
./validation_images_normal/259.png Real 10:42:48
./validation_images_normal/260.png Fake 10:42:51
./validation_images_normal/261.png Real 10:42:54
./validation_images_normal/262.png Real 10:42:58
./validation_images_normal/263.png Real 10:43:00
./validation_images_normal/264.png Fake 10:43:04
./validation_images_normal/265.png Fake 10:43:07
./validation_images_normal/266.png Fake 10:43:10
./validation_images_normal/267.png Fake 10:43:13
./validation_images_normal/268.png Real 10:43:16
./validation_images_normal/269.png Real 10:43:19
./validation_images_normal/270.png Fake 10:43:26
./validation_images_normal/271.png Real 10:43:29
./validation_images_normal/272.png Fake 10:43:32
./validation_images_normal/273.png Real 10:43:36
./validation_images_normal/274.png Fake 10:43:39
./validation_images_normal/275.png Real 10:43:42
./validation_images_normal/276.png Real 10:43:46
./validation_images_normal/277.png Real 10:43:48
./validation_images_normal/278.png Real 10:43:50
./validation_images_normal/279.png Real 10:43:53
./validation_images_normal/280.png Fake 10:43:55
./validation_images_normal/281.png Fake 10:43:58
./validation_images_normal/282.png Real 10:44:00
./validation_images_normal/283.png Real 10:44:03
./validation_images_normal/284.png Real 10:44:05
./validation_images_normal/285.png Real 10:44:08
./validation_images_normal/286.png Real 10:44:11
./validation_images_normal/287.png Fake 10:44:13
./validation_images_normal/288.png Real 10:44:16
./validation_images_normal/289.png Real 10:44:18
./validation_images_normal/290.png Real 10:44:21
./validation_images_normal/291.png Fake 10:44:23
./validation_images_normal/292.png Real 10:44:26
./validation_images_normal/293.png Fake 10:44:30
./validation_images_normal/294.png Fake 10:44:34
./validation_images_normal/295.png Real 10:44:37
./validation_images_normal/296.png Fake 10:44:40
./validation_images_normal/297.png Fake 10:44:43
./validation_images_normal/298.png Real 10:44:46
./validation_images_normal/299.png Fake 10:44:49
10:44:52
