F2LJS01 20190916 11:56:48
./validation_images_normal/177.png Fake 12:04:39
./validation_images_normal/178.png Fake 12:04:45
./validation_images_normal/179.png Fake 12:04:47
./validation_images_normal/180.png Real 12:04:50
./validation_images_normal/181.png Fake 12:04:54
./validation_images_normal/182.png Real 12:04:56
./validation_images_normal/183.png Fake 12:04:58
./validation_images_normal/184.png Real 12:05:00
./validation_images_normal/185.png Fake 12:05:02
./validation_images_normal/186.png Real 12:05:06
./validation_images_normal/187.png Fake 12:05:09
./validation_images_normal/188.png Real 12:05:11
./validation_images_normal/189.png Fake 12:05:13
./validation_images_normal/190.png Real 12:05:15
./validation_images_normal/191.png Real 12:05:17
./validation_images_normal/192.png Real 12:05:19
./validation_images_normal/193.png Real 12:05:21
./validation_images_normal/194.png Real 12:05:23
./validation_images_normal/195.png Real 12:05:25
./validation_images_normal/196.png Fake 12:05:26
./validation_images_normal/197.png Real 12:05:28
./validation_images_normal/198.png Fake 12:05:30
./validation_images_normal/199.png Real 12:05:33
./validation_images_normal/200.png Real 12:05:34
./validation_images_normal/201.png Fake 12:05:36
./validation_images_normal/202.png Real 12:05:39
./validation_images_normal/203.png Fake 12:05:41
./validation_images_normal/204.png Fake 12:05:43
./validation_images_normal/205.png Real 12:05:46
./validation_images_normal/206.png Real 12:05:48
./validation_images_normal/207.png Real 12:05:50
./validation_images_normal/208.png Fake 12:05:52
./validation_images_normal/209.png Real 12:05:55
./validation_images_normal/210.png Real 12:05:59
./validation_images_normal/211.png Real 12:06:02
./validation_images_normal/212.png Fake 12:06:05
./validation_images_normal/213.png Real 12:06:09
./validation_images_normal/214.png Real 12:06:12
./validation_images_normal/215.png Real 12:06:15
./validation_images_normal/216.png Real 12:06:17
./validation_images_normal/217.png Fake 12:06:18
./validation_images_normal/218.png Real 12:06:21
./validation_images_normal/219.png Fake 12:06:24
./validation_images_normal/220.png Fake 12:06:26
./validation_images_normal/221.png Fake 12:06:29
./validation_images_normal/222.png Fake 12:06:31
./validation_images_normal/223.png Fake 12:06:35
./validation_images_normal/224.png Fake 12:06:36
./validation_images_normal/225.png Real 12:06:38
./validation_images_normal/226.png Fake 12:06:41
./validation_images_normal/227.png Real 12:06:43
./validation_images_normal/228.png Real 12:06:46
./validation_images_normal/229.png Fake 12:06:47
./validation_images_normal/230.png Real 12:06:50
./validation_images_normal/231.png Real 12:06:52
./validation_images_normal/232.png Real 12:06:54
./validation_images_normal/233.png Fake 12:06:56
./validation_images_normal/234.png Real 12:06:58
./validation_images_normal/235.png Fake 12:07:00
./validation_images_normal/236.png Real 12:07:02
./validation_images_normal/237.png Real 12:07:04
./validation_images_normal/238.png Fake 12:07:07
./validation_images_normal/239.png Fake 12:07:10
./validation_images_normal/240.png Fake 12:07:13
./validation_images_normal/241.png Fake 12:07:15
./validation_images_normal/242.png Real 12:07:18
./validation_images_normal/243.png Real 12:07:21
./validation_images_normal/244.png Fake 12:07:23
./validation_images_normal/245.png Fake 12:07:27
./validation_images_normal/246.png Fake 12:07:33
./validation_images_normal/247.png Real 12:07:35
./validation_images_normal/248.png Fake 12:07:37
./validation_images_normal/249.png Real 12:07:39
./validation_images_normal/250.png Real 12:07:41
./validation_images_normal/251.png Real 12:07:43
./validation_images_normal/252.png Fake 12:07:44
./validation_images_normal/253.png Real 12:07:48
./validation_images_normal/254.png Real 12:07:49
./validation_images_normal/255.png Fake 12:07:51
./validation_images_normal/256.png Real 12:07:53
./validation_images_normal/257.png Real 12:07:55
./validation_images_normal/258.png Fake 12:07:57
./validation_images_normal/259.png Real 12:07:59
./validation_images_normal/260.png Fake 12:08:01
./validation_images_normal/261.png Real 12:08:02
./validation_images_normal/262.png Fake 12:08:05
./validation_images_normal/263.png Real 12:08:08
./validation_images_normal/264.png Fake 12:08:10
./validation_images_normal/265.png Fake 12:08:13
./validation_images_normal/266.png Fake 12:08:17
./validation_images_normal/267.png Fake 12:08:19
./validation_images_normal/268.png Real 12:08:22
./validation_images_normal/269.png Real 12:08:24
./validation_images_normal/270.png Fake 12:08:30
./validation_images_normal/271.png Real 12:08:33
./validation_images_normal/272.png Fake 12:08:35
./validation_images_normal/273.png Real 12:08:38
./validation_images_normal/274.png Fake 12:08:41
./validation_images_normal/275.png Real 12:08:43
./validation_images_normal/276.png Real 12:08:45
./validation_images_normal/277.png Real 12:08:52
./validation_images_normal/278.png Fake 12:08:54
./validation_images_normal/279.png Real 12:08:59
./validation_images_normal/280.png Fake 12:09:01
./validation_images_normal/281.png Fake 12:09:05
./validation_images_normal/282.png Real 12:09:11
./validation_images_normal/283.png Real 12:09:16
./validation_images_normal/284.png Real 12:09:18
./validation_images_normal/285.png Real 12:09:20
./validation_images_normal/286.png Real 12:09:22
./validation_images_normal/287.png Real 12:09:24
./validation_images_normal/288.png Real 12:09:26
./validation_images_normal/289.png Real 12:09:28
./validation_images_normal/290.png Real 12:09:30
./validation_images_normal/291.png Fake 12:09:32
./validation_images_normal/292.png Real 12:09:34
./validation_images_normal/293.png Fake 12:09:35
./validation_images_normal/294.png Fake 12:09:38
./validation_images_normal/295.png Real 12:09:40
./validation_images_normal/296.png Fake 12:09:42
./validation_images_normal/297.png Fake 12:09:43
./validation_images_normal/298.png Real 12:09:46
./validation_images_normal/299.png Fake 12:09:47
12:09:50
12:10:01
